X,Y,U,V,Stream,Density,Cp,Solid
0.015,0.015,0,0,2.53093,0,0,0
0.015,0.025,0,0,3.5307,0,0,0
0.015,0.035,0,0,4.53001,0,0,0
0.015,0.045,0,0,5.52883,0,0,0
0.015,0.055,0,0,6.52712,0,0,0
0.015,0.065,0,0,7.52486,0,0,0
0.015,0.075,0,0,8.522,0,0,0
0.015,0.085,0,0,9.51853,0,0,0
0.015,0.095,0,0,10.5144,0,0,0
0.015,0.105,0,0,11.5096,0,0,0
0.015,0.115,0,0,12.504,0,0,0
0.015,0.125,0,0,13.4977,0,0,0
0.015,0.135,0,0,14.4906,0,0,0
0.015,0.145,0,0,15.4827,0,0,0
0.015,0.155,0,0,16.4739,0,0,0
0.015,0.165,0,0,17.4642,0,0,0
0.015,0.175,0,0,18.4535,0,0,0
0.015,0.185,0,0,19.4418,0,0,0
0.015,0.195,0,0,20.4292,0,0,0
0.015,0.205,0,0,21.4154,0,0,0
0.015,0.215,0,0,22.4006,0,0,0
0.015,0.225,0,0,23.3847,0,0,0
0.015,0.235,0,0,24.3676,0,0,0
0.015,0.245,0,0,25.3493,0,0,0
0.015,0.255,0,0,26.3298,0,0,0
0.015,0.265,0,0,27.3091,0,0,0
0.015,0.275,0,0,28.2871,0,0,0
0.015,0.285,0,0,29.2639,0,0,0
0.015,0.295,0,0,30.2394,0,0,0
0.015,0.305,0,0,31.2136,0,0,0
0.015,0.315,0,0,32.1866,0,0,0
0.015,0.325,0,0,33.1583,0,0,0
0.015,0.335,0,0,34.1287,0,0,0
0.015,0.345,0,0,35.0979,0,0,0
0.015,0.355,0,0,36.0659,0,0,0
0.015,0.365,0,0,37.0326,0,0,0
0.015,0.375,0,0,37.9983,0,0,0
0.015,0.385,0,0,38.9629,0,0,0
0.015,0.395,0,0,39.9264,0,0,0
0.015,0.405,0,0,40.8889,0,0,0
0.015,0.415,0,0,41.8506,0,0,0
0.015,0.425,0,0,42.8114,0,0,0
0.015,0.435,0,0,43.7715,0,0,0
0.015,0.445,0,0,44.7308,0,0,0
0.015,0.455,0,0,45.6897,0,0,0
0.015,0.465,0,0,46.648,0,0,0
0.015,0.475,0,0,47.606,0,0,0
0.015,0.485,0,0,48.5637,0,0,0
0.015,0.495,0,0,49.5213,0,0,0
0.015,0.505,0,0,50.4787,0,0,0
0.015,0.515,0,0,51.4363,0,0,0
0.015,0.525,0,0,52.394,0,0,0
0.015,0.535,0,0,53.352,0,0,0
0.015,0.545,0,0,54.3103,0,0,0
0.015,0.555,0,0,55.2692,0,0,0
0.015,0.565,0,0,56.2285,0,0,0
0.015,0.575,0,0,57.1886,0,0,0
0.015,0.585,0,0,58.1494,0,0,0
0.015,0.595,0,0,59.1111,0,0,0
0.015,0.605,0,0,60.0736,0,0,0
0.015,0.615,0,0,61.0371,0,0,0
0.015,0.625,0,0,62.0017,0,0,0
0.015,0.635,0,0,62.9674,0,0,0
0.015,0.645,0,0,63.9341,0,0,0
0.015,0.655,0,0,64.9021,0,0,0
0.015,0.665,0,0,65.8713,0,0,0
0.015,0.675,0,0,66.8417,0,0,0
0.015,0.685,0,0,67.8134,0,0,0
0.015,0.695,0,0,68.7864,0,0,0
0.015,0.705,0,0,69.7606,0,0,0
0.015,0.715,0,0,70.7361,0,0,0
0.015,0.725,0,0,71.7129,0,0,0
0.015,0.735,0,0,72.6909,0,0,0
0.015,0.745,0,0,73.6702,0,0,0
0.015,0.755,0,0,74.6507,0,0,0
0.015,0.765,0,0,75.6324,0,0,0
0.015,0.775,0,0,76.6153,0,0,0
0.015,0.785,0,0,77.5994,0,0,0
0.015,0.795,0,0,78.5846,0,0,0
0.015,0.805,0,0,79.5708,0,0,0
0.015,0.815,0,0,80.5582,0,0,0
0.015,0.825,0,0,81.5465,0,0,0
0.015,0.835,0,0,82.5358,0,0,0
0.015,0.845,0,0,83.5261,0,0,0
0.015,0.855,0,0,84.5173,0,0,0
0.015,0.865,0,0,85.5094,0,0,0
0.015,0.875,0,0,86.5023,0,0,0
0.015,0.885,0,0,87.496,0,0,0
0.015,0.895,0,0,88.4904,0,0,0
0.015,0.905,0,0,89.4856,0,0,0
0.015,0.915,0,0,90.4815,0,0,0
0.015,0.925,0,0,91.478,0,0,0
0.015,0.935,0,0,92.4751,0,0,0
0.015,0.945,0,0,93.4729,0,0,0
0.015,0.955,0,0,94.4712,0,0,0
0.015,0.965,0,0,95.47,0,0,0
0.015,0.975,0,0,96.4693,0,0,0
0.015,0.985,0,0,97.4691,0,0,0
0.025,0.015,0,0,2.5524,0,0,0
0.025,0.025,0,0,3.55263,0,0,0
0.025,0.035,0,0,4.55239,0,0,0
0.025,0.045,0,0,5.55166,0,0,0
0.025,0.055,0,0,6.5504,0,0,0
0.025,0.065,0,0,7.54857,0,0,0
0.025,0.075,0,0,8.54615,0,0,0
0.025,0.085,0,0,9.54311,0,0,0
0.025,0.095,0,0,10.5394,0,0,0
0.025,0.105,0,0,11.535,0,0,0
0.025,0.115,0,0,12.5298,0,0,0
0.025,0.125,0,0,13.5239,0,0,0
0.025,0.135,0,0,14.5171,0,0,0
0.025,0.145,0,0,15.5095,0,0,0
0.025,0.155,0,0,16.501,0,0,0
0.025,0.165,0,0,17.4916,0,0,0
0.025,0.175,0,0,18.4811,0,0,0
0.025,0.185,0,0,19.4697,0,0,0
0.025,0.195,0,0,20.4572,0,0,0
0.025,0.205,0,0,21.4435,0,0,0
0.025,0.215,0,0,22.4288,0,0,0
0.025,0.225,0,0,23.4129,0,0,0
0.025,0.235,0,0,24.3957,0,0,0
0.025,0.245,0,0,25.3773,0,0,0
0.025,0.255,0,0,26.3577,0,0,0
0.025,0.265,0,0,27.3367,0,0,0
0.025,0.275,0,0,28.3145,0,0,0
0.025,0.285,0,0,29.2909,0,0,0
0.025,0.295,0,0,30.2659,0,0,0
0.025,0.305,0,0,31.2396,0,0,0
0.025,0.315,0,0,32.2119,0,0,0
0.025,0.325,0,0,33.1829,0,0,0
0.025,0.335,0,0,34.1526,0,0,0
0.025,0.345,0,0,35.1209,0,0,0
0.025,0.355,0,0,36.0879,0,0,0
0.025,0.365,0,0,37.0536,0,0,0
0.025,0.375,0,0,38.0181,0,0,0
0.025,0.385,0,0,38.9815,0,0,0
0.025,0.395,0,0,39.9437,0,0,0
0.025,0.405,0,0,40.9049,0,0,0
0.025,0.415,0,0,41.865,0,0,0
0.025,0.425,0,0,42.8243,0,0,0
0.025,0.435,0,0,43.7828,0,0,0
0.025,0.445,0,0,44.7405,0,0,0
0.025,0.455,0,0,45.6977,0,0,0
0.025,0.465,0,0,46.6543,0,0,0
0.025,0.475,0,0,47.6105,0,0,0
0.025,0.485,0,0,48.5664,0,0,0
0.025,0.495,0,0,49.5222,0,0,0
0.025,0.505,0,0,50.4778,0,0,0
0.025,0.515,0,0,51.4336,0,0,0
0.025,0.525,0,0,52.3895,0,0,0
0.025,0.535,0,0,53.3457,0,0,0
0.025,0.545,0,0,54.3023,0,0,0
0.025,0.555,0,0,55.2595,0,0,0
0.025,0.565,0,0,56.2172,0,0,0
0.025,0.575,0,0,57.1757,0,0,0
0.025,0.585,0,0,58.135,0,0,0
0.025,0.595,0,0,59.0951,0,0,0
0.025,0.605,0,0,60.0563,0,0,0
0.025,0.615,0,0,61.0185,0,0,0
0.025,0.625,0,0,61.9819,0,0,0
0.025,0.635,0,0,62.9464,0,0,0
0.025,0.645,0,0,63.9121,0,0,0
0.025,0.655,0,0,64.8791,0,0,0
0.025,0.665,0,0,65.8474,0,0,0
0.025,0.675,0,0,66.8171,0,0,0
0.025,0.685,0,0,67.7881,0,0,0
0.025,0.695,0,0,68.7604,0,0,0
0.025,0.705,0,0,69.7341,0,0,0
0.025,0.715,0,0,70.7091,0,0,0
0.025,0.725,0,0,71.6855,0,0,0
0.025,0.735,0,0,72.6633,0,0,0
0.025,0.745,0,0,73.6423,0,0,0
0.025,0.755,0,0,74.6227,0,0,0
0.025,0.765,0,0,75.6043,0,0,0
0.025,0.775,0,0,76.5871,0,0,0
0.025,0.785,0,0,77.5712,0,0,0
0.025,0.795,0,0,78.5565,0,0,0
0.025,0.805,0,0,79.5428,0,0,0
0.025,0.815,0,0,80.5303,0,0,0
0.025,0.825,0,0,81.5189,0,0,0
