X,Y,U,V,Stream,Density,Cp,Solid
0.01,0.01,0,0,14.3939,0,0,0
0.01,0.0166667,0,0,14.1939,0,0,0
0.01,0.0233333,0,0,13.994,0,0,0
0.01,0.03,0,0,13.7941,0,0,0
0.01,0.0366667,0,0,13.5944,0,0,0
0.01,0.0433333,0,0,13.3946,0,0,0
0.01,0.05,0,0,13.195,0,0,0
0.01,0.0566667,0,0,12.9954,0,0,0
0.01,0.0633333,0,0,12.7959,0,0,0
0.01,0.07,0,0,12.5965,0,0,0
0.01,0.0766667,0,0,12.3971,0,0,0
0.01,0.0833333,0,0,12.1979,0,0,0
0.01,0.09,0,0,11.9987,0,0,0
0.01,0.0966667,0,0,11.7996,0,0,0
0.01,0.103333,0,0,11.6006,0,0,0
0.01,0.11,0,0,11.4017,0,0,0
0.01,0.116667,0,0,11.2029,0,0,0
0.01,0.123333,0,0,11.0042,0,0,0
0.01,0.13,0,0,10.8056,0,0,0
0.01,0.136667,0,0,10.6071,0,0,0
0.01,0.143333,0,0,10.4087,0,0,0
0.01,0.15,0,0,10.2104,0,0,0
0.01,0.156667,0,0,10.0123,0,0,0
0.01,0.163333,0,0,9.81424,0,0,0
0.01,0.17,0,0,9.61633,0,0,0
0.01,0.176667,0,0,9.41855,0,0,0
0.01,0.183333,0,0,9.2209,0,0,0
0.01,0.19,0,0,9.02338,0,0,0
0.01,0.196667,0,0,8.826,0,0,0
0.01,0.203333,0,0,8.62875,0,0,0
0.01,0.21,0,0,8.43165,0,0,0
0.01,0.216667,0,0,8.23469,0,0,0
0.01,0.223333,0,0,8.03788,0,0,0
0.01,0.23,0,0,7.84121,0,0,0
0.01,0.236667,0,0,7.6447,0,0,0
0.01,0.243333,0,0,7.44835,0,0,0
0.01,0.25,0,0,7.25215,0,0,0
0.01,0.256667,0,0,7.05611,0,0,0
0.01,0.263333,0,0,6.86023,0,0,0
0.01,0.27,0,0,6.66451,0,0,0
0.01,0.276667,0,0,6.46895,0,0,0
0.01,0.283333,0,0,6.27355,0,0,0
0.01,0.29,0,0,6.07833,0,0,0
0.01,0.296667,0,0,5.88326,0,0,0
0.01,0.303333,0,0,5.68836,0,0,0
0.01,0.31,0,0,5.49363,0,0,0
0.01,0.316667,0,0,5.29906,0,0,0
0.01,0.323333,0,0,5.10465,0,0,0
0.01,0.33,0,0,4.91041,0,0,0
0.01,0.336667,0,0,4.71633,0,0,0
0.01,0.343333,0,0,4.5224,0,0,0
0.01,0.35,0,0,4.32864,0,0,0
0.01,0.356667,0,0,4.13502,0,0,0
0.01,0.363333,0,0,3.94156,0,0,0
0.01,0.37,0,0,3.74825,0,0,0
0.01,0.376667,0,0,3.55508,0,0,0
0.01,0.383333,0,0,3.36205,0,0,0
0.01,0.39,0,0,3.16915,0,0,0
0.01,0.396667,0,0,2.97638,0,0,0
0.01,0.403333,0,0,2.78374,0,0,0
0.01,0.41,0,0,2.59122,0,0,0
0.01,0.416667,0,0,2.3988,0,0,0
0.01,0.423333,0,0,2.2065,0,0,0
0.01,0.43,0,0,2.01429,0,0,0
0.01,0.436667,0,0,1.82217,0,0,0
0.01,0.443333,0,0,1.63013,0,0,0
0.01,0.45,0,0,1.43817,0,0,0
0.01,0.456667,0,0,1.24628,0,0,0
0.01,0.463333,0,0,1.05444,0,0,0
0.01,0.47,0,0,0.862656,0,0,0
0.01,0.476667,0,0,0.670911,0,0,0
0.01,0.483333,0,0,0.479199,0,0,0
0.01,0.49,0,0,0.28751,0,0,0
0.01,0.496667,0,0,0.0958353,0,0,0
0.01,0.503333,0,0,0.0958353,0,0,0
0.01,0.51,0,0,0.28751,0,0,0
0.01,0.516667,0,0,0.479199,0,0,0
0.01,0.523333,0,0,0.670911,0,0,0
0.01,0.53,0,0,0.862656,0,0,0
0.01,0.536667,0,0,1.05444,0,0,0
0.01,0.543333,0,0,1.24628,0,0,0
0.01,0.55,0,0,1.43817,0,0,0
0.01,0.556667,0,0,1.63013,0,0,0
0.01,0.563333,0,0,1.82217,0,0,0
0.01,0.57,0,0,2.01429,0,0,0
0.01,0.576667,0,0,2.2065,0,0,0
0.01,0.583333,0,0,2.3988,0,0,0
0.01,0.59,0,0,2.59122,0,0,0
0.01,0.596667,0,0,2.78374,0,0,0
0.01,0.603333,0,0,2.97638,0,0,0
0.01,0.61,0,0,3.16915,0,0,0
0.01,0.616667,0,0,3.36205,0,0,0
0.01,0.623333,0,0,3.55508,0,0,0
0.01,0.63,0,0,3.74825,0,0,0
