X,Y,U,V,Stream,Density,Cp,Solid
0,0,0,0,-1.27884,0,0,0
0,0,0,0,-1.17771,0,0,0
0,0,0,0,-1.12846,0,0,0
0,0,0,0,-1.09977,0,0,0
0,0,0,0,-1.08033,0,0,0
0,0,0,0,-1.06549,0,0,0
0,0,0,0,-1.05308,0,0,0
0,0,0,0,-1.04196,0,0,0
0,0,0,0,-1.03149,0,0,0
0,0,0,0,-1.02124,0,0,0
0,0,0,0,-1.01096,0,0,0
0,0,0,0,-1.00045,0,0,0
0,0,0,0,-0.989564,0,0,0
0,0,0,0,-0.978199,0,0,0
0,0,0,0,-0.966263,0,0,0
0,0,0,0,-0.95368,0,0,0
0,0,0,0,-0.940386,0,0,0
0,0,0,0,-0.926325,0,0,0
0,0,0,0,-0.911447,0,0,0
0,0,0,0,-0.895706,0,0,0
0,0,0,0,-0.879063,0,0,0
0,0,0,0,-0.861481,0,0,0
0,0,0,0,-0.842927,0,0,0
0,0,0,0,-0.823373,0,0,0
0,0,0,0,-0.802794,0,0,0
0,0,0,0,-0.781168,0,0,0
0,0,0,0,-0.75848,0,0,0
0,0,0,0,-0.734716,0,0,0
0,0,0,0,-0.709867,0,0,0
0,0,0,0,-0.683932,0,0,0
0,0,0,0,-0.656911,0,0,0
0,0,0,0,-0.62881,0,0,0
0,0,0,0,-0.599644,0,0,0
0,0,0,0,-0.569428,0,0,0
0,0,0,0,-0.538187,0,0,0
0,0,0,0,-0.50595,0,0,0
0,0,0,0,-0.472753,0,0,0
0,0,0,0,-0.438637,0,0,0
0,0,0,0,-0.403649,0,0,0
0,0,0,0,-0.367843,0,0,0
0,0,0,0,-0.331278,0,0,0
0,0,0,0,-0.294016,0,0,0
0,0,0,0,-0.256127,0,0,0
0,0,0,0,-0.217686,0,0,0
0,0,0,0,-0.178768,0,0,0
0,0,0,0,-0.139457,0,0,0
0,0,0,0,-0.0998355,0,0,0
0,0,0,0,-0.0599911,0,0,0
0,0,0,0,-0.020012,0,0,0
0,0,0,0,0.020012,0,0,0
0,0,0,0,0.059991,0,0,0
0,0,0,0,0.0998355,0,0,0
0,0,0,0,0.139457,0,0,0
0,0,0,0,0.178768,0,0,0
0,0,0,0,0.217686,0,0,0
0,0,0,0,0.256127,0,0,0
0,0,0,0,0.294016,0,0,0
0,0,0,0,0.331277,0,0,0
0,0,0,0,0.367843,0,0,0
0,0,0,0,0.403649,0,0,0
0,0,0,0,0.438637,0,0,0
0,0,0,0,0.472753,0,0,0
0,0,0,0,0.50595,0,0,0
0,0,0,0,0.538187,0,0,0
0,0,0,0,0.569428,0,0,0
0,0,0,0,0.599643,0,0,0
0,0,0,0,0.62881,0,0,0
0,0,0,0,0.656911,0,0,0
0,0,0,0,0.683932,0,0,0
0,0,0,0,0.709867,0,0,0
0,0,0,0,0.734716,0,0,0
0,0,0,0,0.75848,0,0,0
0,0,0,0,0.781168,0,0,0
0,0,0,0,0.802794,0,0,0
0,0,0,0,0.823373,0,0,0
0,0,0,0,0.842927,0,0,0
0,0,0,0,0.861481,0,0,0
0,0,0,0,0.879063,0,0,0
0,0,0,0,0.895706,0,0,0
0,0,0,0,0.911447,0,0,0
0,0,0,0,0.926325,0,0,0
0,0,0,0,0.940386,0,0,0
0,0,0,0,0.95368,0,0,0
0,0,0,0,0.966263,0,0,0
0,0,0,0,0.978199,0,0,0
0,0,0,0,0.989564,0,0,0
0,0,0,0,1.00045,0,0,0
0,0,0,0,1.01096,0,0,0
0,0,0,0,1.02124,0,0,0
0,0,0,0,1.03149,0,0,0
0,0,0,0,1.04196,0,0,0
0,0,0,0,1.05308,0,0,0
0,0,0,0,1.06549,0,0,0
0,0,0,0,1.08033,0,0,0
0,0,0,0,1.09977,0,0,0
0,0,0,0,1.12846,0,0,0
0,0,0,0,1.17771,0,0,0
0,0,0,0,1.27884,0,0,0
0,0,0,0,-1.39705,0,0,0
0,0,0,0,-1.29428,0,0,0
0,0,0,0,-1.22825,0,0,0
0,0,0,0,-1.18376,0,0,0
0,0,0,0,-1.15166,0,0,0
0,0,0,0,-1.12683,0,0,0
0,0,0,0,-1.1064,0,0,0
0,0,0,0,-1.08868,0,0,0
0,0,0,0,-1.07264,0,0,0
0,0,0,0,-1.0576,0,0,0
0,0,0,0,-1.04312,0,0,0
0,0,0,0,-1.02888,0,0,0
0,0,0,0,-1.01464,0,0,0
0,0,0,0,-1.00023,0,0,0
0,0,0,0,-0.9855,0,0,0
0,0,0,0,-0.970352,0,0,0
0,0,0,0,-0.95469,0,0,0
0,0,0,0,-0.938435,0,0,0
0,0,0,0,-0.921523,0,0,0
0,0,0,0,-0.903895,0,0,0
0,0,0,0,-0.885502,0,0,0
0,0,0,0,-0.8663,0,0,0
0,0,0,0,-0.846252,0,0,0
0,0,0,0,-0.825324,0,0,0
0,0,0,0,-0.803487,0,0,0
0,0,0,0,-0.78072,0,0,0
0,0,0,0,-0.757001,0,0,0
0,0,0,0,-0.732319,0,0,0
0,0,0,0,-0.706662,0,0,0
0,0,0,0,-0.680026,0,0,0
0,0,0,0,-0.652413,0,0,0
0,0,0,0,-0.623826,0,0,0
0,0,0,0,-0.594276,0,0,0
0,0,0,0,-0.563781,0,0,0
0,0,0,0,-0.53236,0,0,0
0,0,0,0,-0.500041,0,0,0
0,0,0,0,-0.466855,0,0,0
0,0,0,0,-0.432841,0,0,0
0,0,0,0,-0.398042,0,0,0
0,0,0,0,-0.362506,0,0,0
0,0,0,0,-0.326285,0,0,0
0,0,0,0,-0.289438,0,0,0
0,0,0,0,-0.252027,0,0,0
0,0,0,0,-0.214118,0,0,0
0,0,0,0,-0.175782,0,0,0
0,0,0,0,-0.137092,0,0,0
0,0,0,0,-0.0981237,0,0,0
0,0,0,0,-0.0589548,0,0,0
0,0,0,0,-0.0196651,0,0,0
0,0,0,0,0.019665,0,0,0
0,0,0,0,0.0589547,0,0,0
0,0,0,0,0.0981236,0,0,0
0,0,0,0,0.137092,0,0,0
0,0,0,0,0.175782,0,0,0
0,0,0,0,0.214118,0,0,0
0,0,0,0,0.252027,0,0,0
0,0,0,0,0.289438,0,0,0
0,0,0,0,0.326285,0,0,0
0,0,0,0,0.362505,0,0,0
0,0,0,0,0.398042,0,0,0
0,0,0,0,0.432841,0,0,0
0,0,0,0,0.466855,0,0,0
0,0,0,0,0.50004,0,0,0
0,0,0,0,0.53236,0,0,0
0,0,0,0,0.563781,0,0,0
0,0,0,0,0.594276,0,0,0
0,0,0,0,0.623826,0,0,0
0,0,0,0,0.652412,0,0,0
0,0,0,0,0.680026,0,0,0
0,0,0,0,0.706662,0,0,0
0,0,0,0,0.732319,0,0,0
0,0,0,0,0.757001,0,0,0
0,0,0,0,0.780719,0,0,0
0,0,0,0,0.803487,0,0,0
0,0,0,0,0.825323,0,0,0
0,0,0,0,0.846252,0,0,0
0,0,0,0,0.8663,0,0,0
0,0,0,0,0.885502,0,0,0
0,0,0,0,0.903895,0,0,0
0,0,0,0,0.921523,0,0,0
0,0,0,0,0.938435,0,0,0
0,0,0,0,0.95469,0,0,0
0,0,0,0,0.970352,0,0,0
0,0,0,0,0.9855,0,0,0
0,0,0,0,1.00023,0,0,0
0,0,0,0,1.01464,0,0,0
0,0,0,0,1.02888,0,0,0
0,0,0,0,1.04312,0,0,0
0,0,0,0,1.0576,0,0,0
0,0,0,0,1.07264,0,0,0
0,0,0,0,1.08868,0,0,0
0,0,0,0,1.1064,0,0,0
0,0,0,0,1.12683,0,0,0
0,0,0,0,1.15166,0,0,0
0,0,0,0,1.18376,0,0,0
0,0,0,0,1.22825,0,0,0
0,0,0,0,1.29428,0,0,0
0,0,0,0,1.39705,0,0,0
0,0,0,0,-1.46334,0,0,0
0,0,0,0,-1.37412,0,0,0
0,0,0,0,-1.30648,0,0,0
0,0,0,0,-1.25536,0,0,0
0,0,0,0,-1.21571,0,0,0
0,0,0,0,-1.18377,0,0,0
0,0,0,0,-1.15701,0,0,0
0,0,0,0,-1.13373,0,0,0
0,0,0,0,-1.11279,0,0,0
0,0,0,0,-1.09341,0,0,0
0,0,0,0,-1.07505,0,0,0
0,0,0,0,-1.05731,0,0,0
0,0,0,0,-1.03989,0,0,0
0,0,0,0,-1.02256,0,0,0
0,0,0,0,-1.00516,0,0,0
0,0,0,0,-0.98754,0,0,0
0,0,0,0,-0.969586,0,0,0
0,0,0,0,-0.951204,0,0,0
0,0,0,0,-0.932314,0,0,0
0,0,0,0,-0.912849,0,0,0
0,0,0,0,-0.89275,0,0,0
0,0,0,0,-0.871967,0,0,0
0,0,0,0,-0.850457,0,0,0
0,0,0,0,-0.828183,0,0,0
0,0,0,0,-0.805113,0,0,0
0,0,0,0,-0.781222,0,0,0
0,0,0,0,-0.756488,0,0,0
0,0,0,0,-0.730897,0,0,0
0,0,0,0,-0.704436,0,0,0
0,0,0,0,-0.6771,0,0,0
0,0,0,0,-0.648889,0,0,0
0,0,0,0,-0.619804,0,0,0
0,0,0,0,-0.589857,0,0,0
0,0,0,0,-0.55906,0,0,0
0,0,0,0,-0.527433,0,0,0
0,0,0,0,-0.494999,0,0,0
0,0,0,0,-0.461788,0,0,0
0,0,0,0,-0.427833,0,0,0
0,0,0,0,-0.393174,0,0,0
0,0,0,0,-0.357853,0,0,0
0,0,0,0,-0.321919,0,0,0
0,0,0,0,-0.285424,0,0,0
0,0,0,0,-0.248425,0,0,0
0,0,0,0,-0.210979,0,0,0
0,0,0,0,-0.173151,0,0,0
0,0,0,0,-0.135006,0,0,0
0,0,0,0,-0.0966127,0,0,0
0,0,0,0,-0.0580397,0,0,0
0,0,0,0,-0.0193587,0,0,0
0,0,0,0,0.0193585,0,0,0
