X,Y,U,V,Stream,Density,Cp,Solid
0.015,0.015,117.65,17.2324,1.25209,1.225,-0.413844,0
0.015,0.025,107.473,12.0825,2.353,1.225,-0.169647,0
0.015,0.035,103.803,8.79265,3.40155,1.225,-0.085241,0
0.015,0.045,102.262,6.60499,4.42906,1.225,-0.0501141,0
0.015,0.055,101.515,5.06301,5.44679,1.225,-0.033096,0
0.015,0.065,101.106,3.91286,6.45936,1.225,-0.023783,0
0.015,0.075,100.86,3.01232,7.46892,1.225,-0.0181828,0
0.015,0.085,100.7,2.27881,8.47656,1.225,-0.0145633,0
0.015,0.095,100.589,1.66231,9.48292,1.225,-0.0120897,0
0.015,0.105,100.508,1.13125,10.4883,1.225,-0.0103224,0
0.015,0.115,100.447,0.664946,11.4931,1.225,-0.00901261,0
0.015,0.125,100.399,0.249434,12.4973,1.225,-0.00801075,0
0.015,0.135,100.36,-0.124959,13.5011,1.225,-0.00722238,0
0.015,0.145,100.328,-0.465061,14.5045,1.225,-0.00658522,0
0.015,0.155,100.299,-0.775762,15.5076,1.225,-0.00605667,0
0.015,0.165,100.274,-1.06059,16.5105,1.225,-0.00560663,0
0.015,0.175,100.252,-1.32211,17.5131,1.225,-0.00521318,0
0.015,0.185,100.231,-1.56214,18.5155,1.225,-0.00485998,0
0.015,0.195,100.211,-1.782,19.5177,1.225,-0.0045345,0
0.015,0.205,100.192,-1.9826,20.5197,1.225,-0.00422702,0
0.015,0.215,100.173,-2.16452,21.5216,1.225,-0.00392981,0
0.015,0.225,100.155,-2.32813,22.5232,1.225,-0.0036367,0
0.015,0.235,100.136,-2.47361,23.5246,1.225,-0.00334273,0
0.015,0.245,100.118,-2.60101,24.5259,1.225,-0.00304394,0
0.015,0.255,100.1,-2.71028,25.527,1.225,-0.00273719,0
0.015,0.265,100.082,-2.8013,26.5279,1.225,-0.0024201,0
0.015,0.275,100.063,-2.87391,27.5286,1.225,-0.00209095,0
0.015,0.285,100.045,-2.92793,28.5292,1.225,-0.00174867,0
0.015,0.295,100.026,-2.96319,29.5295,1.225,-0.0013928,0
0.015,0.305,100.007,-2.97952,30.5297,1.225,-0.00102347,0
0.015,0.315,99.9878,-2.97683,31.5297,1.225,-0.000641416,0
0.015,0.325,99.9687,-2.95506,32.5295,1.225,-0.000247926,0
0.015,0.335,99.9498,-2.91422,33.529,1.225,0.000155135,0
0.015,0.345,99.931,-2.85443,34.5285,1.225,0.00056537,0
0.015,0.355,99.9124,-2.77589,35.5277,1.225,0.000979867,0
0.015,0.365,99.8943,-2.67892,36.5267,1.225,0.00139525,0
0.015,0.375,99.8767,-2.56397,37.5256,1.225,0.00180773,0
0.015,0.385,99.8597,-2.43162,38.5242,1.225,0.00221316,0
0.015,0.395,99.8435,-2.28255,39.5227,1.225,0.00260713,0
0.015,0.405,99.8282,-2.11764,40.5211,1.225,0.00298504,0
0.015,0.415,99.8139,-1.93786,41.5193,1.225,0.00334222,0
0.015,0.425,99.8009,-1.74433,42.5174,1.225,0.00367401,0
0.015,0.435,99.7892,-1.53832,43.5153,1.225,0.00397589,0
0.015,0.445,99.7788,-1.3212,44.5132,1.225,0.00424359,0
0.015,0.455,99.7701,-1.09447,45.5109,1.225,0.00447322,0
0.015,0.465,99.763,-0.859737,46.5086,1.225,0.00466133,0
0.015,0.475,99.7575,-0.618676,47.5062,1.225,0.00480504,0
0.015,0.485,99.7539,-0.373046,48.5037,1.225,0.00490212,0
0.015,0.495,99.7521,-0.124655,49.5012,1.225,0.00495105,0
0.015,0.505,99.7521,0.124661,50.4988,1.225,0.00495105,0
0.015,0.515,99.7539,0.373053,51.4963,1.225,0.00490212,0
0.015,0.525,99.7575,0.618683,52.4938,1.225,0.00480504,0
0.015,0.535,99.763,0.859744,53.4914,1.225,0.00466132,0
0.015,0.545,99.7701,1.09448,54.4891,1.225,0.00447322,0
0.015,0.555,99.7788,1.32121,55.4868,1.225,0.00424359,0
0.015,0.565,99.7892,1.53833,56.4847,1.225,0.00397589,0
0.015,0.575,99.8009,1.74434,57.4826,1.225,0.003674,0
0.015,0.585,99.8139,1.93786,58.4807,1.225,0.00334222,0
0.015,0.595,99.8282,2.11765,59.4789,1.225,0.00298504,0
0.015,0.605,99.8435,2.28256,60.4773,1.225,0.00260713,0
0.015,0.615,99.8597,2.43162,61.4758,1.225,0.00221316,0
0.015,0.625,99.8767,2.56398,62.4744,1.225,0.00180773,0
0.015,0.635,99.8943,2.67893,63.4733,1.225,0.00139525,0
0.015,0.645,99.9124,2.7759,64.4723,1.225,0.000979864,0
0.015,0.655,99.931,2.85443,65.4715,1.225,0.000565366,0
0.015,0.665,99.9498,2.91423,66.471,1.225,0.000155131,0
0.015,0.675,99.9687,2.95506,67.4705,1.225,-0.000247931,0
0.015,0.685,99.9878,2.97684,68.4703,1.225,-0.000641421,0
0.015,0.695,100.007,2.97953,69.4703,1.225,-0.00102348,0
0.015,0.705,100.026,2.96319,70.4705,1.225,-0.0013928,0
0.015,0.715,100.045,2.92794,71.4708,1.225,-0.00174867,0
0.015,0.725,100.063,2.87392,72.4714,1.225,-0.00209095,0
0.015,0.735,100.082,2.80131,73.4721,1.225,-0.0024201,0
0.015,0.745,100.1,2.71029,74.473,1.225,-0.00273719,0
0.015,0.755,100.118,2.60102,75.4741,1.225,-0.00304394,0
0.015,0.765,100.136,2.47362,76.4754,1.225,-0.00334274,0
