X,Y,U,V,Stream,Density,Cp,Solid
0.01,0.01,35.273,5.19171,0.250271,1.225,-0.412379,0
0.01,0.0166667,32.2202,3.66867,0.470307,1.225,-0.168443,0
0.01,0.0233333,31.1194,2.70345,0.679873,1.225,-0.084139,0
0.01,0.03,30.6573,2.06863,0.885232,1.225,-0.049058,0
0.01,0.0366667,30.4337,1.62715,1.08864,1.225,-0.0320641,0
0.01,0.0433333,30.3116,1.30277,1.29102,1.225,-0.022767,0
0.01,0.05,30.2383,1.05273,1.49279,1.225,-0.0171796,0
0.01,0.0566667,30.1909,0.85215,1.69419,1.225,-0.013573,0
0.01,0.0633333,30.1585,0.685918,1.89534,1.225,-0.0111141,0
0.01,0.07,30.1352,0.544453,2.0963,1.225,-0.0093646,0
0.01,0.0766667,30.118,0.421437,2.29714,1.225,-0.00807695,0
0.01,0.0833333,30.1047,0.312558,2.49788,1.225,-0.00710276,0
0.01,0.09,30.0943,0.214791,2.69854,1.225,-0.00634867,0
0.01,0.0966667,30.0859,0.125953,2.89914,1.225,-0.00575356,0
0.01,0.103333,30.079,0.0444425,3.09968,1.225,-0.00527599,0
0.01,0.11,30.0732,-0.0309423,3.30019,1.225,-0.00488702,0
0.01,0.116667,30.0682,-0.101114,3.50066,1.225,-0.00456592,0
0.01,0.123333,30.0639,-0.166775,3.7011,1.225,-0.00429747,0
0.01,0.13,30.0601,-0.228471,3.90151,1.225,-0.00407027,0
0.01,0.136667,30.0567,-0.286628,4.1019,1.225,-0.00387564,0
0.01,0.143333,30.0536,-0.341584,4.30227,1.225,-0.0037068,0
0.01,0.15,30.0508,-0.393603,4.50261,1.225,-0.00355842,0
0.01,0.156667,30.0481,-0.442895,4.70294,1.225,-0.00342619,0
0.01,0.163333,30.0456,-0.489623,4.90326,1.225,-0.00330663,0
0.01,0.17,30.0432,-0.533916,5.10355,1.225,-0.00319685,0
0.01,0.176667,30.0409,-0.575875,5.30383,1.225,-0.00309444,0
0.01,0.183333,30.0386,-0.615572,5.5041,1.225,-0.00299733,0
0.01,0.19,30.0364,-0.653065,5.70435,1.225,-0.00290379,0
0.01,0.196667,30.0343,-0.688392,5.90458,1.225,-0.0028123,0
0.01,0.203333,30.0321,-0.721578,6.1048,1.225,-0.00272154,0
0.01,0.21,30.03,-0.752638,6.30501,1.225,-0.00263034,0
0.01,0.216667,30.0279,-0.781575,6.5052,1.225,-0.00253769,0
0.01,0.223333,30.0257,-0.808387,6.70538,1.225,-0.0024427,0
0.01,0.23,30.0236,-0.833063,6.90555,1.225,-0.00234457,0
0.01,0.236667,30.0214,-0.855589,7.1057,1.225,-0.0022426,0
0.01,0.243333,30.0192,-0.875945,7.30583,1.225,-0.00213618,0
0.01,0.25,30.017,-0.894109,7.50595,1.225,-0.00202481,0
0.01,0.256667,30.0148,-0.910056,7.70606,1.225,-0.00190803,0
0.01,0.263333,30.0126,-0.923761,7.90615,1.225,-0.00178548,0
0.01,0.27,30.0103,-0.935197,8.10623,1.225,-0.00165689,0
0.01,0.276667,30.008,-0.944337,8.30629,1.225,-0.00152206,0
0.01,0.283333,30.0056,-0.951156,8.50633,1.225,-0.00138085,0
0.01,0.29,30.0033,-0.955628,8.70636,1.225,-0.00123324,0
0.01,0.296667,30.0009,-0.957733,8.90638,1.225,-0.00107926,0
0.01,0.303333,29.9985,-0.957449,9.10637,1.225,-0.000919035,0
0.01,0.31,29.9961,-0.954761,9.30636,1.225,-0.000752774,0
0.01,0.316667,29.9937,-0.949656,9.50632,1.225,-0.000580768,0
0.01,0.323333,29.9913,-0.942126,9.70627,1.225,-0.000403394,0
0.01,0.33,29.9888,-0.932169,9.90621,1.225,-0.00022111,0
0.01,0.336667,29.9864,-0.919785,10.1061,1.225,-3.44606e-05,0
0.01,0.343333,29.984,-0.904984,10.306,1.225,0.000155932,0
0.01,0.35,29.9816,-0.887781,10.5059,1.225,0.000349364,0
0.01,0.356667,29.9793,-0.868195,10.7058,1.225,0.000545062,0
0.01,0.363333,29.9769,-0.846257,10.9056,1.225,0.000742179,0
0.01,0.37,29.9746,-0.822001,11.1055,1.225,0.000939803,0
0.01,0.376667,29.9724,-0.795471,11.3053,1.225,0.00113697,0
0.01,0.383333,29.9702,-0.766718,11.5051,1.225,0.00133266,0
0.01,0.39,29.9681,-0.735803,11.7049,1.225,0.00152581,0
0.01,0.396667,29.966,-0.702792,11.9047,1.225,0.00171532,0
0.01,0.403333,29.964,-0.667761,12.1044,1.225,0.0019001,0
0.01,0.41,29.9622,-0.630794,12.3042,1.225,0.002079,0
0.01,0.416667,29.9604,-0.591984,12.5039,1.225,0.00225091,0
0.01,0.423333,29.9587,-0.55143,12.7037,1.225,0.00241471,0
0.01,0.43,29.9571,-0.509239,12.9034,1.225,0.00256931,0
0.01,0.436667,29.9557,-0.465527,13.1031,1.225,0.00271366,0
0.01,0.443333,29.9543,-0.420415,13.3028,1.225,0.00284675,0
0.01,0.45,29.9531,-0.374032,13.5025,1.225,0.00296765,0
0.01,0.456667,29.9521,-0.326512,13.7022,1.225,0.00307547,0
0.01,0.463333,29.9511,-0.277995,13.9019,1.225,0.00316944,0
0.01,0.47,29.9504,-0.228626,14.1015,1.225,0.00324885,0
0.01,0.476667,29.9497,-0.178555,14.3012,1.225,0.00331311,0
0.01,0.483333,29.9493,-0.127933,14.5009,1.225,0.00336174,0
0.01,0.49,29.9489,-0.0769151,14.7005,1.225,0.00339437,0
0.01,0.496667,29.9488,-0.0256598,14.9002,1.225,0.00341075,0
0.01,0.503333,29.9488,0.025675,15.0998,1.225,0.00341075,0
0.01,0.51,29.9489,0.0769303,15.2995,1.225,0.00339437,0
0.01,0.516667,29.9493,0.127948,15.4991,1.225,0.00336174,0
0.01,0.523333,29.9497,0.17857,15.6988,1.225,0.00331311,0
0.01,0.53,29.9504,0.228642,15.8985,1.225,0.00324884,0
0.01,0.536667,29.9511,0.27801,16.0981,1.225,0.00316943,0
0.01,0.543333,29.9521,0.326527,16.2978,1.225,0.00307546,0
0.01,0.55,29.9531,0.374047,16.4975,1.225,0.00296764,0
0.01,0.556667,29.9543,0.42043,16.6972,1.225,0.00284674,0
0.01,0.563333,29.9557,0.465542,16.8969,1.225,0.00271365,0
0.01,0.57,29.9571,0.509254,17.0966,1.225,0.0025693,0
0.01,0.576667,29.9587,0.551445,17.2963,1.225,0.00241469,0
0.01,0.583333,29.9604,0.591999,17.4961,1.225,0.00225089,0
0.01,0.59,29.9622,0.63081,17.6958,1.225,0.00207898,0
0.01,0.596667,29.964,0.667776,17.8956,1.225,0.00190008,0
0.01,0.603333,29.966,0.702807,18.0953,1.225,0.0017153,0
0.01,0.61,29.9681,0.735818,18.2951,1.225,0.00152578,0
0.01,0.616667,29.9702,0.766734,18.4949,1.225,0.00133263,0
0.01,0.623333,29.9724,0.795487,18.6947,1.225,0.00113694,0
0.01,0.63,29.9746,0.822017,18.8945,1.225,0.000939776,0
0.01,0.636667,29.9769,0.846273,19.0944,1.225,0.00074215,0
0.01,0.643333,29.9793,0.868211,19.2942,1.225,0.000545033,0
0.01,0.65,29.9816,0.887796,19.4941,1.225,0.000349334,0
0.01,0.656667,29.984,0.905,19.694,1.225,0.0001559,0
0.01,0.663333,29.9864,0.919801,19.8939,1.225,-3.44931e-05,0
0.01,0.67,29.9888,0.932184,20.0938,1.225,-0.000221144,0
0.01,0.676667,29.9913,0.942142,20.2937,1.225,-0.000403428,0
0.01,0.683333,29.9937,0.949672,20.4937,1.225,-0.000580803,0
0.01,0.69,29.9961,0.954776,20.6936,1.225,-0.00075281,0
0.01,0.696667,29.9985,0.957464,20.8936,1.225,-0.000919072,0
0.01,0.703333,30.0009,0.957748,21.0936,1.225,-0.0010793,0
0.01,0.71,30.0033,0.955644,21.2936,1.225,-0.00123328,0
0.01,0.716667,30.0056,0.951171,21.4937,1.225,-0.00138089,0
0.01,0.723333,30.008,0.944353,21.6937,1.225,-0.00152209,0
0.01,0.73,30.0103,0.935212,21.8938,1.225,-0.00165693,0
0.01,0.736667,30.0126,0.923776,22.0938,1.225,-0.00178552,0
0.01,0.743333,30.0148,0.910071,22.2939,1.225,-0.00190807,0
0.01,0.75,30.017,0.894124,22.494,1.225,-0.00202485,0
0.01,0.756667,30.0192,0.875959,22.6942,1.225,-0.00213622,0
0.01,0.763333,30.0214,0.855603,22.8943,1.225,-0.00224264,0
0.01,0.77,30.0236,0.833077,23.0945,1.225,-0.00234461,0
0.01,0.776667,30.0257,0.808401,23.2946,1.225,-0.00244274,0
0.01,0.783333,30.0279,0.781589,23.4948,1.225,-0.00253773,0
0.01,0.79,30.03,0.752651,23.695,1.225,-0.00263038,0
0.01,0.796667,30.0321,0.721592,23.8952,1.225,-0.00272157,0
0.01,0.803333,30.0343,0.688405,24.0954,1.225,-0.00281234,0
0.01,0.81,30.0364,0.653078,24.2957,1.225,-0.00290383,0
0.01,0.816667,30.0386,0.615585,24.4959,1.225,-0.00299737,0
0.01,0.823333,30.0409,0.575887,24.6962,1.225,-0.00309447,0
0.01,0.83,30.0432,0.533928,24.8964,1.225,-0.00319689,0
0.01,0.836667,30.0456,0.489634,25.0967,1.225,-0.00330667,0
0.01,0.843333,30.0481,0.442906,25.2971,1.225,-0.00342623,0
0.01,0.85,30.0508,0.393614,25.4974,1.225,-0.00355845,0
0.01,0.856667,30.0536,0.341595,25.6977,1.225,-0.00370684,0
0.01,0.863333,30.0567,0.286638,25.8981,1.225,-0.00387567,0
0.01,0.87,30.0601,0.22848,26.0985,1.225,-0.00407031,0
0.01,0.876667,30.0639,0.166784,26.2989,1.225,-0.0042975,0
0.01,0.883333,30.0682,0.101123,26.4993,1.225,-0.00456595,0
0.01,0.89,30.0732,0.0309507,26.6998,1.225,-0.00488705,0
0.01,0.896667,30.079,-0.0444346,26.9003,1.225,-0.00527602,0
0.01,0.903333,30.0859,-0.125946,27.1009,1.225,-0.00575359,0
0.01,0.91,30.0943,-0.214784,27.3015,1.225,-0.0063487,0
0.01,0.916667,30.1047,-0.312552,27.5021,1.225,-0.00710279,0
0.01,0.923333,30.118,-0.421431,27.7029,1.225,-0.00807698,0
0.01,0.93,30.1352,-0.544448,27.9037,1.225,-0.00936462,0
0.01,0.936667,30.1585,-0.685913,28.1047,1.225,-0.0111141,0
0.01,0.943333,30.1909,-0.852145,28.3058,1.225,-0.013573,0
0.01,0.95,30.2383,-1.05273,28.5072,1.225,-0.0171796,0
0.01,0.956667,30.3116,-1.30277,28.709,1.225,-0.022767,0
0.01,0.963333,30.4337,-1.62715,28.9114,1.225,-0.0320641,0
0.01,0.97,30.6573,-2.06862,29.1148,1.225,-0.049058,0
0.01,0.976667,31.1194,-2.70345,29.3201,1.225,-0.0841391,0
0.01,0.983333,32.2202,-3.66867,29.5297,1.225,-0.168443,0
0.01,0.99,35.273,-5.19171,29.7497,1.225,-0.412379,0
0.0166667,0.01,33.8313,2.13884,0.230777,1.225,-0.276815,0
0.0166667,0.0166667,32.4883,2.3256,0.451084,1.225,-0.178773,0
0.0166667,0.0233333,31.6,2.05751,0.663954,1.225,-0.114218,0
0.0166667,0.03,31.0763,1.72877,0.872418,1.225,-0.0763611,0
0.0166667,0.0366667,30.7659,1.43291,1.0783,1.225,-0.0539899,0
0.0166667,0.0433333,30.5744,1.18348,1.28263,1.225,-0.0402175,0
0.0166667,0.05,30.4506,0.974907,1.48596,1.225,-0.0313233,0
