X,Y,U,V,Stream,Density,Cp,Solid
0.015,0.015,35.3473,5.11723,0.37615,1.225,-0.417351,0
0.015,0.025,32.294,3.51995,0.706945,1.225,-0.172549,0
0.015,0.035,31.1926,2.48101,1.02203,1.225,-0.0879262,0
0.015,0.045,30.7297,1.77323,1.3308,1.225,-0.0527287,0
0.015,0.055,30.5048,1.25983,1.63662,1.225,-0.0357022,0
0.015,0.065,30.3813,0.864833,1.94089,1.225,-0.0264117,0
0.015,0.075,30.3062,0.54575,2.24425,1.225,-0.020851,0
0.015,0.085,30.2568,0.277994,2.54702,1.225,-0.0172809,0
0.015,0.095,30.2221,0.0467517,2.84939,1.225,-0.0148618,0
0.015,0.105,30.1962,-0.157253,3.15146,1.225,-0.0131505,0
0.015,0.115,30.176,-0.340018,3.45331,1.225,-0.0118948,0
0.015,0.125,30.1594,-0.505522,3.75498,1.225,-0.0109419,0
0.015,0.135,30.1454,-0.656447,4.0565,1.225,-0.0101939,0
0.015,0.145,30.133,-0.794614,4.35789,1.225,-0.00958513,0
0.015,0.155,30.1217,-0.921258,4.65916,1.225,-0.00906956,0
0.015,0.165,30.1111,-1.0372,4.96032,1.225,-0.00861349,0
0.015,0.175,30.1009,-1.14295,5.26138,1.225,-0.0081914,0
0.015,0.185,30.091,-1.23881,5.56234,1.225,-0.00778337,0
0.015,0.195,30.0812,-1.32492,5.8632,1.225,-0.00737338,0
0.015,0.205,30.0714,-1.4013,6.16396,1.225,-0.00694834,0
0.015,0.215,30.0615,-1.46785,6.46463,1.225,-0.00649743,0
0.015,0.225,30.0514,-1.52444,6.76519,1.225,-0.00601166,0
0.015,0.235,30.0411,-1.57086,7.06566,1.225,-0.00548371,0
0.015,0.245,30.0306,-1.60688,7.36602,1.225,-0.00490776,0
0.015,0.255,30.0198,-1.63224,7.66627,1.225,-0.00427945,0
0.015,0.265,30.0087,-1.6467,7.96641,1.225,-0.00359594,0
0.015,0.275,29.9975,-1.64998,8.26644,1.225,-0.00285587,0
0.015,0.285,29.986,-1.64185,8.56636,1.225,-0.0020595,0
0.015,0.295,29.9743,-1.62209,8.86616,1.225,-0.00120874,0
0.015,0.305,29.9624,-1.59053,9.16585,1.225,-0.000307189,0
0.015,0.315,29.9505,-1.54704,9.46541,1.225,0.000639769,0
0.015,0.325,29.9385,-1.49152,9.76486,1.225,0.00162499,0
0.015,0.335,29.9265,-1.42398,10.0642,1.225,0.00263956,0
0.015,0.345,29.9147,-1.34446,10.3634,1.225,0.00367288,0
0.015,0.355,29.903,-1.25311,10.6625,1.225,0.00471275,0
0.015,0.365,29.8916,-1.15015,10.9614,1.225,0.00574552,0
0.015,0.375,29.8805,-1.0359,11.2603,1.225,0.00675633,0
0.015,0.385,29.87,-0.910756,11.5591,1.225,0.00772937,0
0.015,0.395,29.8599,-0.775242,11.8577,1.225,0.00864816,0
0.015,0.405,29.8506,-0.629965,12.1563,1.225,0.00949597,0
0.015,0.415,29.842,-0.475634,12.4547,1.225,0.0102562,0
0.015,0.425,29.8342,-0.313057,12.7531,1.225,0.0109127,0
0.015,0.435,29.8274,-0.143131,13.0514,1.225,0.0114506,0
0.015,0.445,29.8216,0.0331568,13.3496,1.225,0.0118561,0
0.015,0.455,29.8169,0.214743,13.6478,1.225,0.0121175,0
0.015,0.465,29.8134,0.400493,13.946,1.225,0.0122254,0
0.015,0.475,29.811,0.589218,14.2441,1.225,0.0121727,0
0.015,0.485,29.8099,0.779682,14.5422,1.225,0.0119555,0
0.015,0.495,29.8101,0.970618,14.8403,1.225,0.0115727,0
0.015,0.505,29.8116,1.16074,15.1384,1.225,0.0110264,0
0.015,0.515,29.8143,1.34877,15.4365,1.225,0.0103219,0
0.015,0.525,29.8182,1.53344,15.7347,1.225,0.00946743,0
0.015,0.535,29.8234,1.71349,16.0329,1.225,0.00847421,0
0.015,0.545,29.8298,1.88774,16.3312,1.225,0.00735598,0
0.015,0.555,29.8372,2.05503,16.6295,1.225,0.00612871,0
0.015,0.565,29.8457,2.21429,16.9279,1.225,0.0048102,0
0.015,0.575,29.8552,2.36451,17.2264,1.225,0.00341962,0
0.015,0.585,29.8655,2.5048,17.525,1.225,0.00197698,0
0.015,0.595,29.8765,2.63432,17.8237,1.225,0.000502696,0
0.015,0.605,29.8883,2.75237,18.1225,1.225,-0.000982952,0
0.015,0.615,29.9006,2.85833,18.4215,1.225,-0.00246026,0
0.015,0.625,29.9133,2.95169,18.7205,1.225,-0.00391052,0
