X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.015,0.015,0,0,0.0759278,0,0,0,0,0
0.015,0.025,0,0,0.105921,0,0,0,0,0
0.015,0.035,0,0,0.1359,0,0,0,0,0
0.015,0.045,0,0,0.165865,0,0,0,0,0
0.015,0.055,0,0,0.195814,0,0,0,0,0
0.015,0.065,0,0,0.225746,0,0,0,0,0
0.015,0.075,0,0,0.25566,0,0,0,0,0
0.015,0.085,0,0,0.285556,0,0,0,0,0
0.015,0.095,0,0,0.315432,0,0,0,0,0
0.015,0.105,0,0,0.345288,0,0,0,0,0
0.015,0.115,0,0,0.375121,0,0,0,0,0
0.015,0.125,0,0,0.404932,0,0,0,0,0
0.015,0.135,0,0,0.434719,0,0,0,0,0
0.015,0.145,0,0,0.464481,0,0,0,0,0
0.015,0.155,0,0,0.494217,0,0,0,0,0
0.015,0.165,0,0,0.523925,0,0,0,0,0
0.015,0.175,0,0,0.553605,0,0,0,0,0
0.015,0.185,0,0,0.583255,0,0,0,0,0
0.015,0.195,0,0,0.612875,0,0,0,0,0
0.015,0.205,0,0,0.642463,0,0,0,0,0
0.015,0.215,0,0,0.672018,0,0,0,0,0
0.015,0.225,0,0,0.70154,0,0,0,0,0
0.015,0.235,0,0,0.731027,0,0,0,0,0
0.015,0.245,0,0,0.760479,0,0,0,0,0
0.015,0.255,0,0,0.789894,0,0,0,0,0
0.015,0.265,0,0,0.819273,0,0,0,0,0
0.015,0.275,0,0,0.848614,0,0,0,0,0
0.015,0.285,0,0,0.877917,0,0,0,0,0
0.015,0.295,0,0,0.907182,0,0,0,0,0
0.015,0.305,0,0,0.936409,0,0,0,0,0
0.015,0.315,0,0,0.965598,0,0,0,0,0
0.015,0.325,0,0,0.994748,0,0,0,0,0
0.015,0.335,0,0,1.02386,0,0,0,0,0
0.015,0.345,0,0,1.05294,0,0,0,0,0
0.015,0.355,0,0,1.08198,0,0,0,0,0
0.015,0.365,0,0,1.11098,0,0,0,0,0
0.015,0.375,0,0,1.13995,0,0,0,0,0
0.015,0.385,0,0,1.16889,0,0,0,0,0
0.015,0.395,0,0,1.19779,0,0,0,0,0
0.015,0.405,0,0,1.22667,0,0,0,0,0
0.015,0.415,0,0,1.25552,0,0,0,0,0
0.015,0.425,0,0,1.28434,0,0,0,0,0
0.015,0.435,0,0,1.31314,0,0,0,0,0
0.015,0.445,0,0,1.34193,0,0,0,0,0
0.015,0.455,0,0,1.37069,0,0,0,0,0
0.015,0.465,0,0,1.39944,0,0,0,0,0
0.015,0.475,0,0,1.42818,0,0,0,0,0
0.015,0.485,0,0,1.45691,0,0,0,0,0
0.015,0.495,0,0,1.48564,0,0,0,0,0
0.015,0.505,0,0,1.51436,0,0,0,0,0
0.015,0.515,0,0,1.54309,0,0,0,0,0
0.015,0.525,0,0,1.57182,0,0,0,0,0
0.015,0.535,0,0,1.60056,0,0,0,0,0
0.015,0.545,0,0,1.62931,0,0,0,0,0
0.015,0.555,0,0,1.65807,0,0,0,0,0
0.015,0.565,0,0,1.68686,0,0,0,0,0
0.015,0.575,0,0,1.71566,0,0,0,0,0
0.015,0.585,0,0,1.74448,0,0,0,0,0
0.015,0.595,0,0,1.77333,0,0,0,0,0
0.015,0.605,0,0,1.80221,0,0,0,0,0
0.015,0.615,0,0,1.83111,0,0,0,0,0
0.015,0.625,0,0,1.86005,0,0,0,0,0
0.015,0.635,0,0,1.88902,0,0,0,0,0
0.015,0.645,0,0,1.91802,0,0,0,0,0
0.015,0.655,0,0,1.94706,0,0,0,0,0
0.015,0.665,0,0,1.97614,0,0,0,0,0
0.015,0.675,0,0,2.00525,0,0,0,0,0
0.015,0.685,0,0,2.0344,0,0,0,0,0
0.015,0.695,0,0,2.06359,0,0,0,0,0
0.015,0.705,0,0,2.09282,0,0,0,0,0
0.015,0.715,0,0,2.12208,0,0,0,0,0
0.015,0.725,0,0,2.15139,0,0,0,0,0
0.015,0.735,0,0,2.18073,0,0,0,0,0
0.015,0.745,0,0,2.21011,0,0,0,0,0
0.015,0.755,0,0,2.23952,0,0,0,0,0
0.015,0.765,0,0,2.26897,0,0,0,0,0
0.015,0.775,0,0,2.29846,0,0,0,0,0
0.015,0.785,0,0,2.32798,0,0,0,0,0
0.015,0.795,0,0,2.35754,0,0,0,0,0
0.015,0.805,0,0,2.38712,0,0,0,0,0
0.015,0.815,0,0,2.41674,0,0,0,0,0
0.015,0.825,0,0,2.4464,0,0,0,0,0
0.015,0.835,0,0,2.47607,0,0,0,0,0
0.015,0.845,0,0,2.50578,0,0,0,0,0
0.015,0.855,0,0,2.53552,0,0,0,0,0
0.015,0.865,0,0,2.56528,0,0,0,0,0
0.015,0.875,0,0,2.59507,0,0,0,0,0
0.015,0.885,0,0,2.62488,0,0,0,0,0
0.015,0.895,0,0,2.65471,0,0,0,0,0
0.015,0.905,0,0,2.68457,0,0,0,0,0
0.015,0.915,0,0,2.71444,0,0,0,0,0
0.015,0.925,0,0,2.74434,0,0,0,0,0
0.015,0.935,0,0,2.77425,0,0,0,0,0
0.015,0.945,0,0,2.80419,0,0,0,0,0
0.015,0.955,0,0,2.83414,0,0,0,0,0
0.015,0.965,0,0,2.8641,0,0,0,0,0
0.015,0.975,0,0,2.89408,0,0,0,0,0
0.015,0.985,0,0,2.92407,0,0,0,0,0
0.025,0.015,0,0,0.0765721,0,0,0,0,0
0.025,0.025,0,0,0.106579,0,0,0,0,0
0.025,0.035,0,0,0.136572,0,0,0,0,0
0.025,0.045,0,0,0.16655,0,0,0,0,0
0.025,0.055,0,0,0.196512,0,0,0,0,0
0.025,0.065,0,0,0.226457,0,0,0,0,0
0.025,0.075,0,0,0.256385,0,0,0,0,0
0.025,0.085,0,0,0.286293,0,0,0,0,0
0.025,0.095,0,0,0.316182,0,0,0,0,0
0.025,0.105,0,0,0.346049,0,0,0,0,0
0.025,0.115,0,0,0.375895,0,0,0,0,0
0.025,0.125,0,0,0.405717,0,0,0,0,0
0.025,0.135,0,0,0.435514,0,0,0,0,0
0.025,0.145,0,0,0.465286,0,0,0,0,0
0.025,0.155,0,0,0.49503,0,0,0,0,0
0.025,0.165,0,0,0.524747,0,0,0,0,0
0.025,0.175,0,0,0.554434,0,0,0,0,0
0.025,0.185,0,0,0.58409,0,0,0,0,0
0.025,0.195,0,0,0.613715,0,0,0,0,0
0.025,0.205,0,0,0.643306,0,0,0,0,0
0.025,0.215,0,0,0.672864,0,0,0,0,0
0.025,0.225,0,0,0.702386,0,0,0,0,0
0.025,0.235,0,0,0.731872,0,0,0,0,0
0.025,0.245,0,0,0.76132,0,0,0,0,0
0.025,0.255,0,0,0.790731,0,0,0,0,0
0.025,0.265,0,0,0.820102,0,0,0,0,0
0.025,0.275,0,0,0.849434,0,0,0,0,0
0.025,0.285,0,0,0.878726,0,0,0,0,0
0.025,0.295,0,0,0.907978,0,0,0,0,0
0.025,0.305,0,0,0.937189,0,0,0,0,0
0.025,0.315,0,0,0.966358,0,0,0,0,0
0.025,0.325,0,0,0.995488,0,0,0,0,0
0.025,0.335,0,0,1.02458,0,0,0,0,0
0.025,0.345,0,0,1.05363,0,0,0,0,0
0.025,0.355,0,0,1.08264,0,0,0,0,0
0.025,0.365,0,0,1.11161,0,0,0,0,0
0.025,0.375,0,0,1.14054,0,0,0,0,0
0.025,0.385,0,0,1.16944,0,0,0,0,0
0.025,0.395,0,0,1.19831,0,0,0,0,0
0.025,0.405,0,0,1.22715,0,0,0,0,0
0.025,0.415,0,0,1.25595,0,0,0,0,0
0.025,0.425,0,0,1.28473,0,0,0,0,0
0.025,0.435,0,0,1.31348,0,0,0,0,0
0.025,0.445,0,0,1.34222,0,0,0,0,0
0.025,0.455,0,0,1.37093,0,0,0,0,0
0.025,0.465,0,0,1.39963,0,0,0,0,0
0.025,0.475,0,0,1.42831,0,0,0,0,0
0.025,0.485,0,0,1.45699,0,0,0,0,0
0.025,0.495,0,0,1.48566,0,0,0,0,0
0.025,0.505,0,0,1.51434,0,0,0,0,0
0.025,0.515,0,0,1.54301,0,0,0,0,0
0.025,0.525,0,0,1.57169,0,0,0,0,0
0.025,0.535,0,0,1.60037,0,0,0,0,0
0.025,0.545,0,0,1.62907,0,0,0,0,0
0.025,0.555,0,0,1.65778,0,0,0,0,0
0.025,0.565,0,0,1.68652,0,0,0,0,0
0.025,0.575,0,0,1.71527,0,0,0,0,0
0.025,0.585,0,0,1.74405,0,0,0,0,0
0.025,0.595,0,0,1.77285,0,0,0,0,0
0.025,0.605,0,0,1.80169,0,0,0,0,0
0.025,0.615,0,0,1.83056,0,0,0,0,0
0.025,0.625,0,0,1.85946,0,0,0,0,0
0.025,0.635,0,0,1.88839,0,0,0,0,0
0.025,0.645,0,0,1.91736,0,0,0,0,0
0.025,0.655,0,0,1.94637,0,0,0,0,0
0.025,0.665,0,0,1.97542,0,0,0,0,0
0.025,0.675,0,0,2.00451,0,0,0,0,0
0.025,0.685,0,0,2.03364,0,0,0,0,0
0.025,0.695,0,0,2.06281,0,0,0,0,0
0.025,0.705,0,0,2.09202,0,0,0,0,0
0.025,0.715,0,0,2.12127,0,0,0,0,0
0.025,0.725,0,0,2.15057,0,0,0,0,0
0.025,0.735,0,0,2.1799,0,0,0,0,0
0.025,0.745,0,0,2.20927,0,0,0,0,0
0.025,0.755,0,0,2.23868,0,0,0,0,0
0.025,0.765,0,0,2.26813,0,0,0,0,0
0.025,0.775,0,0,2.29761,0,0,0,0,0
0.025,0.785,0,0,2.32714,0,0,0,0,0
0.025,0.795,0,0,2.35669,0,0,0,0,0
0.025,0.805,0,0,2.38629,0,0,0,0,0
0.025,0.815,0,0,2.41591,0,0,0,0,0
0.025,0.825,0,0,2.44557,0,0,0,0,0
0.025,0.835,0,0,2.47525,0,0,0,0,0
0.025,0.845,0,0,2.50497,0,0,0,0,0
0.025,0.855,0,0,2.53471,0,0,0,0,0
0.025,0.865,0,0,2.56449,0,0,0,0,0
0.025,0.875,0,0,2.59428,0,0,0,0,0
0.025,0.885,0,0,2.62411,0,0,0,0,0
0.025,0.895,0,0,2.65395,0,0,0,0,0
0.025,0.905,0,0,2.68382,0,0,0,0,0
0.025,0.915,0,0,2.71371,0,0,0,0,0
0.025,0.925,0,0,2.74362,0,0,0,0,0
0.025,0.935,0,0,2.77354,0,0,0,0,0
0.025,0.945,0,0,2.80349,0,0,0,0,0
0.025,0.955,0,0,2.83345,0,0,0,0,0
0.025,0.965,0,0,2.86343,0,0,0,0,0
0.025,0.975,0,0,2.89342,0,0,0,0,0
0.025,0.985,0,0,2.92343,0,0,0,0,0
0.035,0.015,0,0,0.0772295,0,0,0,0,0
0.035,0.025,0,0,0.107251,0,0,0,0,0
0.035,0.035,0,0,0.137258,0,0,0,0,0
0.035,0.045,0,0,0.16725,0,0,0,0,0
0.035,0.055,0,0,0.197227,0,0,0,0,0
0.035,0.065,0,0,0.227186,0,0,0,0,0
0.035,0.075,0,0,0.257128,0,0,0,0,0
0.035,0.085,0,0,0.28705,0,0,0,0,0
0.035,0.095,0,0,0.316953,0,0,0,0,0
0.035,0.105,0,0,0.346833,0,0,0,0,0
0.035,0.115,0,0,0.376692,0,0,0,0,0
0.035,0.125,0,0,0.406526,0,0,0,0,0
0.035,0.135,0,0,0.436335,0,0,0,0,0
0.035,0.145,0,0,0.466118,0,0,0,0,0
0.035,0.155,0,0,0.495872,0,0,0,0,0
0.035,0.165,0,0,0.525598,0,0,0,0,0
0.035,0.175,0,0,0.555294,0,0,0,0,0
0.035,0.185,0,0,0.584957,0,0,0,0,0
0.035,0.195,0,0,0.614588,0,0,0,0,0
0.035,0.205,0,0,0.644184,0,0,0,0,0
0.035,0.215,0,0,0.673744,0,0,0,0,0
0.035,0.225,0,0,0.703268,0,0,0,0,0
0.035,0.235,0,0,0.732754,0,0,0,0,0
0.035,0.245,0,0,0.7622,0,0,0,0,0
0.035,0.255,0,0,0.791606,0,0,0,0,0
0.035,0.265,0,0,0.820972,0,0,0,0,0
0.035,0.275,0,0,0.850295,0,0,0,0,0
0.035,0.285,0,0,0.879576,0,0,0,0,0
0.035,0.295,0,0,0.908814,0,0,0,0,0
0.035,0.305,0,0,0.938009,0,0,0,0,0
0.035,0.315,0,0,0.96716,0,0,0,0,0
0.035,0.325,0,0,0.996268,0,0,0,0,0
0.035,0.335,0,0,1.02533,0,0,0,0,0
0.035,0.345,0,0,1.05435,0,0,0,0,0
0.035,0.355,0,0,1.08334,0,0,0,0,0
0.035,0.365,0,0,1.11227,0,0,0,0,0
0.035,0.375,0,0,1.14117,0,0,0,0,0
0.035,0.385,0,0,1.17004,0,0,0,0,0
0.035,0.395,0,0,1.19886,0,0,0,0,0
0.035,0.405,0,0,1.22765,0,0,0,0,0
0.035,0.415,0,0,1.25641,0,0,0,0,0
0.035,0.425,0,0,1.28514,0,0,0,0,0
0.035,0.435,0,0,1.31385,0,0,0,0,0
0.035,0.445,0,0,1.34253,0,0,0,0,0
0.035,0.455,0,0,1.37119,0,0,0,0,0
0.035,0.465,0,0,1.39983,0,0,0,0,0
0.035,0.475,0,0,1.42846,0,0,0,0,0
0.035,0.485,0,0,1.45708,0,0,0,0,0
0.035,0.495,0,0,1.48569,0,0,0,0,0
0.035,0.505,0,0,1.51431,0,0,0,0,0
0.035,0.515,0,0,1.54292,0,0,0,0,0
0.035,0.525,0,0,1.57154,0,0,0,0,0
0.035,0.535,0,0,1.60017,0,0,0,0,0
0.035,0.545,0,0,1.62881,0,0,0,0,0
0.035,0.555,0,0,1.65747,0,0,0,0,0
0.035,0.565,0,0,1.68615,0,0,0,0,0
0.035,0.575,0,0,1.71486,0,0,0,0,0
0.035,0.585,0,0,1.74359,0,0,0,0,0
0.035,0.595,0,0,1.77235,0,0,0,0,0
0.035,0.605,0,0,1.80114,0,0,0,0,0
0.035,0.615,0,0,1.82996,0,0,0,0,0
0.035,0.625,0,0,1.85883,0,0,0,0,0
0.035,0.635,0,0,1.88773,0,0,0,0,0
0.035,0.645,0,0,1.91666,0,0,0,0,0
0.035,0.655,0,0,1.94565,0,0,0,0,0
