X,Y,U,V,Stream,Density,Cp,Solid,P,T
0,0,0,0,-0.0383457,0,0,0,0,0
0,0,0,0,-0.0352923,0,0,0,0,0
0,0,0,0,-0.0337957,0,0,0,0,0
0,0,0,0,-0.0329157,0,0,0,0,0
0,0,0,0,-0.0323137,0,0,0,0,0
0,0,0,0,-0.0318501,0,0,0,0,0
0,0,0,0,-0.0314596,0,0,0,0,0
0,0,0,0,-0.0311084,0,0,0,0,0
0,0,0,0,-0.0307768,0,0,0,0,0
0,0,0,0,-0.0304527,0,0,0,0,0
0,0,0,0,-0.0301281,0,0,0,0,0
0,0,0,0,-0.0297973,0,0,0,0,0
0,0,0,0,-0.0294559,0,0,0,0,0
0,0,0,0,-0.0291009,0,0,0,0,0
0,0,0,0,-0.0287294,0,0,0,0,0
0,0,0,0,-0.0283393,0,0,0,0,0
0,0,0,0,-0.0279286,0,0,0,0,0
0,0,0,0,-0.0274958,0,0,0,0,0
0,0,0,0,-0.0270392,0,0,0,0,0
0,0,0,0,-0.0265575,0,0,0,0,0
0,0,0,0,-0.0260496,0,0,0,0,0
0,0,0,0,-0.0255143,0,0,0,0,0
0,0,0,0,-0.0249507,0,0,0,0,0
0,0,0,0,-0.0243578,0,0,0,0,0
0,0,0,0,-0.023735,0,0,0,0,0
0,0,0,0,-0.0230815,0,0,0,0,0
0,0,0,0,-0.0223968,0,0,0,0,0
0,0,0,0,-0.0216805,0,0,0,0,0
0,0,0,0,-0.0209323,0,0,0,0,0
0,0,0,0,-0.0201521,0,0,0,0,0
0,0,0,0,-0.0193399,0,0,0,0,0
0,0,0,0,-0.0184958,0,0,0,0,0
0,0,0,0,-0.0176201,0,0,0,0,0
0,0,0,0,-0.0167134,0,0,0,0,0
0,0,0,0,-0.0157763,0,0,0,0,0
0,0,0,0,-0.0148096,0,0,0,0,0
0,0,0,0,-0.0138143,0,0,0,0,0
0,0,0,0,-0.0127917,0,0,0,0,0
0,0,0,0,-0.011743,0,0,0,0,0
0,0,0,0,-0.0106699,0,0,0,0,0
0,0,0,0,-0.00957405,0,0,0,0,0
0,0,0,0,-0.00845732,0,0,0,0,0
0,0,0,0,-0.00732174,0,0,0,0,0
0,0,0,0,-0.00616949,0,0,0,0,0
0,0,0,0,-0.00500286,0,0,0,0,0
0,0,0,0,-0.00382428,0,0,0,0,0
0,0,0,0,-0.00263624,0,0,0,0,0
0,0,0,0,-0.00144134,0,0,0,0,0
0,0,0,0,-0.000242215,0,0,0,0,0
0,0,0,0,0.000958449,0,0,0,0,0
0,0,0,0,0.00215795,0,0,0,0,0
0,0,0,0,0.00335361,0,0,0,0,0
0,0,0,0,0.00454274,0,0,0,0,0
0,0,0,0,0.00572274,0,0,0,0,0
0,0,0,0,0.00689104,0,0,0,0,0
0,0,0,0,0.00804519,0,0,0,0,0
0,0,0,0,0.00918282,0,0,0,0,0
0,0,0,0,0.0103017,0,0,0,0,0
0,0,0,0,0.0113997,0,0,0,0,0
