X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.3,0.3,1.18537,0.163138,0.252223,1.225,-0.431719,0,99999.7,298
0.3,0.5,1.08312,0.102751,0.474148,1.225,-0.183704,0,99999.9,298
0.3,0.7,1.04556,0.0615923,0.685471,1.225,-0.096984,0,99999.9,298
0.3,0.9,1.02884,0.0324838,0.892371,1.225,-0.0595755,0,100000,298
0.3,1.1,1.01957,0.0113425,1.09701,1.225,-0.0396503,0,100000,298
0.3,1.3,1.01314,-0.00381032,1.3002,1.225,-0.0264652,0,100000,298
0.3,1.5,1.00784,-0.013807,1.50226,1.225,-0.0159268,0,100000,298
0.3,1.7,1.00307,-0.0189532,1.70333,1.225,-0.00650374,0,100000,298
0.3,1.9,0.998782,-0.0194574,1.90349,1.225,0.00205507,0,100000,298
0.3,2.1,0.99525,-0.015765,2.10285,1.225,0.00922827,0,100000,298
0.3,2.3,0.992882,-0.00879388,2.30159,1.225,0.0141072,0,100000,298
0.3,2.5,0.992044,-3.05106e-09,2.5,1.225,0.0158482,0,100000,298
0.3,2.7,0.992882,0.00879388,2.69841,1.225,0.0141072,0,100000,298
0.3,2.9,0.99525,0.015765,2.89715,1.225,0.00922827,0,100000,298
0.3,3.1,0.998782,0.0194574,3.09651,1.225,0.00205507,0,100000,298
0.3,3.3,1.00307,0.0189532,3.29667,1.225,-0.00650374,0,100000,298
0.3,3.5,1.00784,0.013807,3.49774,1.225,-0.0159268,0,100000,298
0.3,3.7,1.01314,0.00381032,3.6998,1.225,-0.0264652,0,100000,298
0.3,3.9,1.01957,-0.0113425,3.90299,1.225,-0.0396503,0,100000,298
0.3,4.1,1.02884,-0.0324838,4.10763,1.225,-0.0595755,0,100000,298
0.3,4.3,1.04556,-0.0615923,4.31453,1.225,-0.096984,0,99999.9,298
0.3,4.5,1.08312,-0.102751,4.52585,1.225,-0.183704,0,99999.9,298
0.3,4.7,1.18537,-0.163138,4.74778,1.225,-0.431719,0,99999.7,298
0.5,0.3,1.14725,0.0609187,0.234745,1.225,-0.319892,0,99999.8,298
0.5,0.5,1.10155,0.0570149,0.4589,1.225,-0.216654,0,99999.9,298
0.5,0.7,1.07027,0.0384883,0.675363,1.225,-0.146953,0,99999.9,298
0.5,0.9,1.05025,0.0188572,0.887006,1.225,-0.10338,0,99999.9,298
0.5,1.1,1.03629,0.00173845,1.09546,1.225,-0.0739085,0,100000,298
0.5,1.3,1.02515,-0.0117811,1.30152,1.225,-0.0510703,0,100000,298
0.5,1.5,1.01514,-0.0211445,1.50552,1.225,-0.0309621,0,100000,298
0.5,1.7,1.00565,-0.025878,1.70758,1.225,-0.0120024,0,100000,298
0.5,1.9,0.996812,-0.0256563,1.90778,1.225,0.0057079,0,100000,298
0.5,2.1,0.989336,-0.0205736,2.10631,1.225,0.0207901,0,100000,298
0.5,2.3,0.984235,-0.0114547,2.30352,1.225,0.0311503,0,100000,298
0.5,2.5,0.982412,-3.07567e-09,2.5,1.225,0.0348662,0,100000,298
0.5,2.7,0.984235,0.0114547,2.69648,1.225,0.0311503,0,100000,298
0.5,2.9,0.989336,0.0205736,2.89369,1.225,0.0207901,0,100000,298
0.5,3.1,0.996812,0.0256563,3.09222,1.225,0.0057079,0,100000,298
0.5,3.3,1.00565,0.025878,3.29242,1.225,-0.0120024,0,100000,298
0.5,3.5,1.01514,0.0211445,3.49448,1.225,-0.0309621,0,100000,298
0.5,3.7,1.02515,0.0117811,3.69848,1.225,-0.0510703,0,100000,298
0.5,3.9,1.03629,-0.00173845,3.90454,1.225,-0.0739085,0,100000,298
0.5,4.1,1.05025,-0.0188572,4.11299,1.225,-0.10338,0,99999.9,298
0.5,4.3,1.07027,-0.0384883,4.32464,1.225,-0.146953,0,99999.9,298
0.5,4.5,1.10155,-0.0570149,4.5411,1.225,-0.216654,0,99999.9,298
0.5,4.7,1.14725,-0.0609187,4.76526,1.225,-0.319892,0,99999.8,298
0.7,0.3,1.12836,0.0235215,0.227856,1.225,-0.273741,0,99999.8,298
0.7,0.5,1.10555,0.0259018,0.451342,1.225,-0.222909,0,99999.9,298
0.7,0.7,1.08372,0.0164888,0.670075,1.225,-0.17471,0,99999.9,298
0.7,0.9,1.06559,0.00271838,0.884829,1.225,-0.135498,0,99999.9,298
0.7,1.1,1.05021,-0.0114648,1.09631,1.225,-0.103068,0,99999.9,298
0.7,1.3,1.03602,-0.0239082,1.30491,1.225,-0.0739132,0,100000,298
0.7,1.5,1.02193,-0.0331118,1.51072,1.225,-0.0454459,0,100000,298
0.7,1.7,1.00758,-0.0377579,1.71369,1.225,-0.0166419,0,100000,298
0.7,1.9,0.993478,-0.0367163,1.91375,1.225,0.0116532,0,100000,298
0.7,2.1,0.981049,-0.0294183,2.11108,1.225,0.036678,0,100000,298
0.7,2.3,0.972309,-0.0164515,2.30617,1.225,0.054345,0,100000,298
0.7,2.5,0.969135,-3.12024e-09,2.5,1.225,0.0607778,0,100000,298
0.7,2.7,0.972309,0.0164515,2.69383,1.225,0.054345,0,100000,298
0.7,2.9,0.981049,0.0294183,2.88892,1.225,0.036678,0,100000,298
0.7,3.1,0.993478,0.0367163,3.08625,1.225,0.0116533,0,100000,298
0.7,3.3,1.00758,0.0377579,3.28631,1.225,-0.0166419,0,100000,298
0.7,3.5,1.02193,0.0331118,3.48928,1.225,-0.0454459,0,100000,298
0.7,3.7,1.03602,0.0239082,3.69509,1.225,-0.0739132,0,100000,298
0.7,3.9,1.05021,0.0114648,3.90369,1.225,-0.103068,0,99999.9,298
0.7,4.1,1.06559,-0.00271838,4.11517,1.225,-0.135498,0,99999.9,298
0.7,4.3,1.08372,-0.0164888,4.32992,1.225,-0.17471,0,99999.9,298
0.7,4.5,1.10555,-0.0259018,4.54866,1.225,-0.222909,0,99999.9,298
0.7,4.7,1.12836,-0.0235215,4.77214,1.225,-0.273741,0,99999.8,298
0.9,0.3,1.12135,0.00726544,0.225336,1.225,-0.257473,0,99999.8,298
0.9,0.5,1.10858,0.00658194,0.448539,1.225,-0.22899,0,99999.9,298
0.9,0.7,1.09345,-0.00115343,0.668768,1.225,-0.195635,0,99999.9,298
0.9,0.9,1.0782,-0.0130077,0.885919,1.225,-0.162692,0,99999.9,298
0.9,1.1,1.06292,-0.0264077,1.10005,1.225,-0.130498,0,99999.9,298
0.9,1.3,1.0468,-0.0392751,1.31109,1.225,-0.0973255,0,99999.9,298
0.9,1.5,1.02899,-0.0496367,1.51877,1.225,-0.0612895,0,100000,298
0.9,1.7,1.00925,-0.0553254,1.72268,1.225,-0.0216564,0,100000,298
0.9,1.9,0.988472,-0.0540328,1.92247,1.225,0.020003,0,100000,298
0.9,2.1,0.969072,-0.0439319,2.11807,1.225,0.0589702,0,100000,298
0.9,2.3,0.954817,-0.0249328,2.3101,1.225,0.0877036,0,100000,298
0.9,2.5,0.949509,-3.19122e-09,2.5,1.225,0.098432,0,100000,298
0.9,2.7,0.954817,0.0249328,2.6899,1.225,0.0877036,0,100000,298
0.9,2.9,0.969072,0.0439319,2.88193,1.225,0.0589702,0,100000,298
0.9,3.1,0.988472,0.0540328,3.07753,1.225,0.020003,0,100000,298
0.9,3.3,1.00925,0.0553254,3.27732,1.225,-0.0216564,0,100000,298
0.9,3.5,1.02899,0.0496367,3.48123,1.225,-0.0612895,0,100000,298
0.9,3.7,1.0468,0.0392751,3.68891,1.225,-0.0973255,0,99999.9,298
0.9,3.9,1.06292,0.0264077,3.89995,1.225,-0.130498,0,99999.9,298
0.9,4.1,1.0782,0.0130077,4.11408,1.225,-0.162692,0,99999.9,298
