X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.015,0.015,0,0,0.253093,0,0,0,0,0
0.015,0.025,0,0,0.35307,0,0,0,0,0
0.015,0.035,0,0,0.453001,0,0,0,0,0
0.015,0.045,0,0,0.552883,0,0,0,0,0
0.015,0.055,0,0,0.652712,0,0,0,0,0
0.015,0.065,0,0,0.752486,0,0,0,0,0
0.015,0.075,0,0,0.8522,0,0,0,0,0
0.015,0.085,0,0,0.951853,0,0,0,0,0
0.015,0.095,0,0,1.05144,0,0,0,0,0
0.015,0.105,0,0,1.15096,0,0,0,0,0
0.015,0.115,0,0,1.2504,0,0,0,0,0
0.015,0.125,0,0,1.34977,0,0,0,0,0
0.015,0.135,0,0,1.44906,0,0,0,0,0
0.015,0.145,0,0,1.54827,0,0,0,0,0
0.015,0.155,0,0,1.64739,0,0,0,0,0
0.015,0.165,0,0,1.74642,0,0,0,0,0
0.015,0.175,0,0,1.84535,0,0,0,0,0
0.015,0.185,0,0,1.94418,0,0,0,0,0
0.015,0.195,0,0,2.04292,0,0,0,0,0
0.015,0.205,0,0,2.14154,0,0,0,0,0
0.015,0.215,0,0,2.24006,0,0,0,0,0
0.015,0.225,0,0,2.33847,0,0,0,0,0
0.015,0.235,0,0,2.43676,0,0,0,0,0
0.015,0.245,0,0,2.53493,0,0,0,0,0
0.015,0.255,0,0,2.63298,0,0,0,0,0
0.015,0.265,0,0,2.73091,0,0,0,0,0
0.015,0.275,0,0,2.82871,0,0,0,0,0
0.015,0.285,0,0,2.92639,0,0,0,0,0
0.015,0.295,0,0,3.02394,0,0,0,0,0
0.015,0.305,0,0,3.12136,0,0,0,0,0
0.015,0.315,0,0,3.21866,0,0,0,0,0
0.015,0.325,0,0,3.31583,0,0,0,0,0
0.015,0.335,0,0,3.41287,0,0,0,0,0
0.015,0.345,0,0,3.50979,0,0,0,0,0
0.015,0.355,0,0,3.60659,0,0,0,0,0
0.015,0.365,0,0,3.70326,0,0,0,0,0
0.015,0.375,0,0,3.79983,0,0,0,0,0
0.015,0.385,0,0,3.89629,0,0,0,0,0
0.015,0.395,0,0,3.99264,0,0,0,0,0
0.015,0.405,0,0,4.08889,0,0,0,0,0
0.015,0.415,0,0,4.18506,0,0,0,0,0
0.015,0.425,0,0,4.28114,0,0,0,0,0
0.015,0.435,0,0,4.37715,0,0,0,0,0
0.015,0.445,0,0,4.47308,0,0,0,0,0
0.015,0.455,0,0,4.56897,0,0,0,0,0
0.015,0.465,0,0,4.6648,0,0,0,0,0
0.015,0.475,0,0,4.7606,0,0,0,0,0
0.015,0.485,0,0,4.85637,0,0,0,0,0
0.015,0.495,0,0,4.95213,0,0,0,0,0
0.015,0.505,0,0,5.04787,0,0,0,0,0
0.015,0.515,0,0,5.14363,0,0,0,0,0
0.015,0.525,0,0,5.2394,0,0,0,0,0
0.015,0.535,0,0,5.3352,0,0,0,0,0
0.015,0.545,0,0,5.43103,0,0,0,0,0
0.015,0.555,0,0,5.52692,0,0,0,0,0
0.015,0.565,0,0,5.62285,0,0,0,0,0
0.015,0.575,0,0,5.71886,0,0,0,0,0
0.015,0.585,0,0,5.81494,0,0,0,0,0
0.015,0.595,0,0,5.91111,0,0,0,0,0
0.015,0.605,0,0,6.00736,0,0,0,0,0
0.015,0.615,0,0,6.10371,0,0,0,0,0
0.015,0.625,0,0,6.20017,0,0,0,0,0
0.015,0.635,0,0,6.29674,0,0,0,0,0
0.015,0.645,0,0,6.39341,0,0,0,0,0
0.015,0.655,0,0,6.49021,0,0,0,0,0
0.015,0.665,0,0,6.58713,0,0,0,0,0
0.015,0.675,0,0,6.68417,0,0,0,0,0
0.015,0.685,0,0,6.78134,0,0,0,0,0
0.015,0.695,0,0,6.87864,0,0,0,0,0
0.015,0.705,0,0,6.97606,0,0,0,0,0
0.015,0.715,0,0,7.07361,0,0,0,0,0
0.015,0.725,0,0,7.17129,0,0,0,0,0
0.015,0.735,0,0,7.26909,0,0,0,0,0
0.015,0.745,0,0,7.36702,0,0,0,0,0
0.015,0.755,0,0,7.46507,0,0,0,0,0
0.015,0.765,0,0,7.56324,0,0,0,0,0
0.015,0.775,0,0,7.66153,0,0,0,0,0
0.015,0.785,0,0,7.75994,0,0,0,0,0
0.015,0.795,0,0,7.85846,0,0,0,0,0
0.015,0.805,0,0,7.95708,0,0,0,0,0
0.015,0.815,0,0,8.05582,0,0,0,0,0
0.015,0.825,0,0,8.15465,0,0,0,0,0
0.015,0.835,0,0,8.25358,0,0,0,0,0
0.015,0.845,0,0,8.35261,0,0,0,0,0
0.015,0.855,0,0,8.45173,0,0,0,0,0
0.015,0.865,0,0,8.55094,0,0,0,0,0
0.015,0.875,0,0,8.65023,0,0,0,0,0
0.015,0.885,0,0,8.7496,0,0,0,0,0
0.015,0.895,0,0,8.84904,0,0,0,0,0
0.015,0.905,0,0,8.94856,0,0,0,0,0
0.015,0.915,0,0,9.04815,0,0,0,0,0
0.015,0.925,0,0,9.1478,0,0,0,0,0
0.015,0.935,0,0,9.24751,0,0,0,0,0
0.015,0.945,0,0,9.34729,0,0,0,0,0
0.015,0.955,0,0,9.44712,0,0,0,0,0
0.015,0.965,0,0,9.547,0,0,0,0,0
0.015,0.975,0,0,9.64693,0,0,0,0,0
0.015,0.985,0,0,9.74691,0,0,0,0,0
0.025,0.015,0,0,0.25524,0,0,0,0,0
0.025,0.025,0,0,0.355263,0,0,0,0,0
0.025,0.035,0,0,0.455239,0,0,0,0,0
0.025,0.045,0,0,0.555166,0,0,0,0,0
0.025,0.055,0,0,0.65504,0,0,0,0,0
0.025,0.065,0,0,0.754857,0,0,0,0,0
0.025,0.075,0,0,0.854615,0,0,0,0,0
0.025,0.085,0,0,0.954311,0,0,0,0,0
0.025,0.095,0,0,1.05394,0,0,0,0,0
0.025,0.105,0,0,1.1535,0,0,0,0,0
0.025,0.115,0,0,1.25298,0,0,0,0,0
0.025,0.125,0,0,1.35239,0,0,0,0,0
0.025,0.135,0,0,1.45171,0,0,0,0,0
0.025,0.145,0,0,1.55095,0,0,0,0,0
0.025,0.155,0,0,1.6501,0,0,0,0,0
0.025,0.165,0,0,1.74916,0,0,0,0,0
0.025,0.175,0,0,1.84811,0,0,0,0,0
0.025,0.185,0,0,1.94697,0,0,0,0,0
0.025,0.195,0,0,2.04572,0,0,0,0,0
0.025,0.205,0,0,2.14435,0,0,0,0,0
0.025,0.215,0,0,2.24288,0,0,0,0,0
0.025,0.225,0,0,2.34129,0,0,0,0,0
0.025,0.235,0,0,2.43957,0,0,0,0,0
0.025,0.245,0,0,2.53773,0,0,0,0,0
0.025,0.255,0,0,2.63577,0,0,0,0,0
0.025,0.265,0,0,2.73367,0,0,0,0,0
0.025,0.275,0,0,2.83145,0,0,0,0,0
0.025,0.285,0,0,2.92909,0,0,0,0,0
0.025,0.295,0,0,3.02659,0,0,0,0,0
0.025,0.305,0,0,3.12396,0,0,0,0,0
0.025,0.315,0,0,3.22119,0,0,0,0,0
0.025,0.325,0,0,3.31829,0,0,0,0,0
0.025,0.335,0,0,3.41526,0,0,0,0,0
0.025,0.345,0,0,3.51209,0,0,0,0,0
0.025,0.355,0,0,3.60879,0,0,0,0,0
0.025,0.365,0,0,3.70536,0,0,0,0,0
0.025,0.375,0,0,3.80181,0,0,0,0,0
0.025,0.385,0,0,3.89815,0,0,0,0,0
0.025,0.395,0,0,3.99437,0,0,0,0,0
0.025,0.405,0,0,4.09049,0,0,0,0,0
0.025,0.415,0,0,4.1865,0,0,0,0,0
0.025,0.425,0,0,4.28243,0,0,0,0,0
0.025,0.435,0,0,4.37828,0,0,0,0,0
0.025,0.445,0,0,4.47405,0,0,0,0,0
0.025,0.455,0,0,4.56977,0,0,0,0,0
0.025,0.465,0,0,4.66543,0,0,0,0,0
0.025,0.475,0,0,4.76105,0,0,0,0,0
0.025,0.485,0,0,4.85664,0,0,0,0,0
0.025,0.495,0,0,4.95222,0,0,0,0,0
0.025,0.505,0,0,5.04778,0,0,0,0,0
0.025,0.515,0,0,5.14336,0,0,0,0,0
0.025,0.525,0,0,5.23895,0,0,0,0,0
0.025,0.535,0,0,5.33457,0,0,0,0,0
0.025,0.545,0,0,5.43023,0,0,0,0,0
0.025,0.555,0,0,5.52595,0,0,0,0,0
0.025,0.565,0,0,5.62172,0,0,0,0,0
0.025,0.575,0,0,5.71757,0,0,0,0,0
0.025,0.585,0,0,5.8135,0,0,0,0,0
0.025,0.595,0,0,5.90951,0,0,0,0,0
0.025,0.605,0,0,6.00563,0,0,0,0,0
0.025,0.615,0,0,6.10185,0,0,0,0,0
0.025,0.625,0,0,6.19819,0,0,0,0,0
0.025,0.635,0,0,6.29464,0,0,0,0,0
0.025,0.645,0,0,6.39121,0,0,0,0,0
0.025,0.655,0,0,6.48791,0,0,0,0,0
0.025,0.665,0,0,6.58474,0,0,0,0,0
0.025,0.675,0,0,6.68171,0,0,0,0,0
0.025,0.685,0,0,6.77881,0,0,0,0,0
0.025,0.695,0,0,6.87604,0,0,0,0,0
0.025,0.705,0,0,6.97341,0,0,0,0,0
0.025,0.715,0,0,7.07091,0,0,0,0,0
0.025,0.725,0,0,7.16855,0,0,0,0,0
0.025,0.735,0,0,7.26633,0,0,0,0,0
0.025,0.745,0,0,7.36423,0,0,0,0,0
0.025,0.755,0,0,7.46227,0,0,0,0,0
0.025,0.765,0,0,7.56043,0,0,0,0,0
0.025,0.775,0,0,7.65871,0,0,0,0,0
0.025,0.785,0,0,7.75712,0,0,0,0,0
0.025,0.795,0,0,7.85565,0,0,0,0,0
0.025,0.805,0,0,7.95428,0,0,0,0,0
0.025,0.815,0,0,8.05303,0,0,0,0,0
0.025,0.825,0,0,8.15189,0,0,0,0,0
0.025,0.835,0,0,8.25084,0,0,0,0,0
0.025,0.845,0,0,8.3499,0,0,0,0,0
0.025,0.855,0,0,8.44905,0,0,0,0,0
0.025,0.865,0,0,8.54829,0,0,0,0,0
0.025,0.875,0,0,8.64761,0,0,0,0,0
0.025,0.885,0,0,8.74702,0,0,0,0,0
0.025,0.895,0,0,8.8465,0,0,0,0,0
0.025,0.905,0,0,8.94606,0,0,0,0,0
0.025,0.915,0,0,9.04569,0,0,0,0,0
0.025,0.925,0,0,9.14538,0,0,0,0,0
0.025,0.935,0,0,9.24514,0,0,0,0,0
0.025,0.945,0,0,9.34496,0,0,0,0,0
0.025,0.955,0,0,9.44483,0,0,0,0,0
0.025,0.965,0,0,9.54476,0,0,0,0,0
0.025,0.975,0,0,9.64474,0,0,0,0,0
0.025,0.985,0,0,9.74476,0,0,0,0,0
0.035,0.015,0,0,0.257432,0,0,0,0,0
0.035,0.025,0,0,0.357503,0,0,0,0,0
0.035,0.035,0,0,0.457527,0,0,0,0,0
0.035,0.045,0,0,0.557501,0,0,0,0,0
0.035,0.055,0,0,0.657423,0,0,0,0,0
0.035,0.065,0,0,0.757288,0,0,0,0,0
0.035,0.075,0,0,0.857093,0,0,0,0,0
0.035,0.085,0,0,0.956835,0,0,0,0,0
0.035,0.095,0,0,1.05651,0,0,0,0,0
0.035,0.105,0,0,1.15611,0,0,0,0,0
0.035,0.115,0,0,1.25564,0,0,0,0,0
0.035,0.125,0,0,1.35509,0,0,0,0,0
0.035,0.135,0,0,1.45445,0,0,0,0,0
0.035,0.145,0,0,1.55373,0,0,0,0,0
0.035,0.155,0,0,1.65291,0,0,0,0,0
0.035,0.165,0,0,1.75199,0,0,0,0,0
0.035,0.175,0,0,1.85098,0,0,0,0,0
0.035,0.185,0,0,1.94986,0,0,0,0,0
0.035,0.195,0,0,2.04863,0,0,0,0,0
0.035,0.205,0,0,2.14728,0,0,0,0,0
0.035,0.215,0,0,2.24581,0,0,0,0,0
0.035,0.225,0,0,2.34423,0,0,0,0,0
0.035,0.235,0,0,2.44251,0,0,0,0,0
0.035,0.245,0,0,2.54067,0,0,0,0,0
0.035,0.255,0,0,2.63869,0,0,0,0,0
0.035,0.265,0,0,2.73657,0,0,0,0,0
0.035,0.275,0,0,2.83432,0,0,0,0,0
0.035,0.285,0,0,2.93192,0,0,0,0,0
0.035,0.295,0,0,3.02938,0,0,0,0,0
0.035,0.305,0,0,3.1267,0,0,0,0,0
0.035,0.315,0,0,3.22387,0,0,0,0,0
0.035,0.325,0,0,3.32089,0,0,0,0,0
0.035,0.335,0,0,3.41778,0,0,0,0,0
0.035,0.345,0,0,3.51452,0,0,0,0,0
0.035,0.355,0,0,3.61112,0,0,0,0,0
0.035,0.365,0,0,3.70758,0,0,0,0,0
0.035,0.375,0,0,3.80391,0,0,0,0,0
0.035,0.385,0,0,3.90012,0,0,0,0,0
0.035,0.395,0,0,3.9962,0,0,0,0,0
0.035,0.405,0,0,4.09218,0,0,0,0,0
0.035,0.415,0,0,4.18804,0,0,0,0,0
0.035,0.425,0,0,4.28381,0,0,0,0,0
0.035,0.435,0,0,4.37949,0,0,0,0,0
0.035,0.445,0,0,4.47509,0,0,0,0,0
0.035,0.455,0,0,4.57062,0,0,0,0,0
0.035,0.465,0,0,4.6661,0,0,0,0,0
0.035,0.475,0,0,4.76153,0,0,0,0,0
0.035,0.485,0,0,4.85693,0,0,0,0,0
0.035,0.495,0,0,4.95231,0,0,0,0,0
0.035,0.505,0,0,5.04769,0,0,0,0,0
0.035,0.515,0,0,5.14307,0,0,0,0,0
0.035,0.525,0,0,5.23847,0,0,0,0,0
0.035,0.535,0,0,5.3339,0,0,0,0,0
0.035,0.545,0,0,5.42938,0,0,0,0,0
0.035,0.555,0,0,5.52491,0,0,0,0,0
0.035,0.565,0,0,5.62051,0,0,0,0,0
0.035,0.575,0,0,5.71619,0,0,0,0,0
0.035,0.585,0,0,5.81196,0,0,0,0,0
0.035,0.595,0,0,5.90782,0,0,0,0,0
0.035,0.605,0,0,6.0038,0,0,0,0,0
0.035,0.615,0,0,6.09988,0,0,0,0,0
0.035,0.625,0,0,6.19609,0,0,0,0,0
0.035,0.635,0,0,6.29242,0,0,0,0,0
0.035,0.645,0,0,6.38888,0,0,0,0,0
0.035,0.655,0,0,6.48548,0,0,0,0,0
0.035,0.665,0,0,6.58222,0,0,0,0,0
0.035,0.675,0,0,6.67911,0,0,0,0,0
0.035,0.685,0,0,6.77613,0,0,0,0,0
0.035,0.695,0,0,6.8733,0,0,0,0,0
0.035,0.705,0,0,6.97062,0,0,0,0,0
0.035,0.715,0,0,7.06808,0,0,0,0,0
0.035,0.725,0,0,7.16568,0,0,0,0,0
0.035,0.735,0,0,7.26343,0,0,0,0,0
0.035,0.745,0,0,7.36131,0,0,0,0,0
0.035,0.755,0,0,7.45933,0,0,0,0,0
0.035,0.765,0,0,7.55749,0,0,0,0,0
0.035,0.775,0,0,7.65577,0,0,0,0,0
0.035,0.785,0,0,7.75419,0,0,0,0,0
0.035,0.795,0,0,7.85272,0,0,0,0,0
0.035,0.805,0,0,7.95137,0,0,0,0,0
0.035,0.815,0,0,8.05014,0,0,0,0,0
0.035,0.825,0,0,8.14902,0,0,0,0,0
0.035,0.835,0,0,8.24801,0,0,0,0,0
0.035,0.845,0,0,8.34709,0,0,0,0,0
0.035,0.855,0,0,8.44627,0,0,0,0,0
0.035,0.865,0,0,8.54555,0,0,0,0,0
0.035,0.875,0,0,8.64491,0,0,0,0,0
0.035,0.885,0,0,8.74436,0,0,0,0,0
0.035,0.895,0,0,8.84389,0,0,0,0,0
0.035,0.905,0,0,8.94349,0,0,0,0,0
0.035,0.915,0,0,9.04317,0,0,0,0,0
0.035,0.925,0,0,9.14291,0,0,0,0,0
0.035,0.935,0,0,9.24271,0,0,0,0,0
0.035,0.945,0,0,9.34258,0,0,0,0,0
0.035,0.955,0,0,9.4425,0,0,0,0,0
0.035,0.965,0,0,9.54247,0,0,0,0,0
0.035,0.975,0,0,9.6425,0,0,0,0,0
0.035,0.985,0,0,9.74257,0,0,0,0,0
0.045,0.015,0,0,0.259666,0,0,0,0,0
0.045,0.025,0,0,0.359789,0,0,0,0,0
0.045,0.035,0,0,0.459864,0,0,0,0,0
0.045,0.045,0,0,0.55989,0,0,0,0,0
0.045,0.055,0,0,0.659863,0,0,0,0,0
0.045,0.065,0,0,0.759779,0,0,0,0,0
0.045,0.075,0,0,0.859635,0,0,0,0,0
0.045,0.085,0,0,0.959426,0,0,0,0,0
0.045,0.095,0,0,1.05915,0,0,0,0,0
0.045,0.105,0,0,1.1588,0,0,0,0,0
0.045,0.115,0,0,1.25837,0,0,0,0,0
0.045,0.125,0,0,1.35787,0,0,0,0,0
0.045,0.135,0,0,1.45727,0,0,0,0,0
0.045,0.145,0,0,1.55659,0,0,0,0,0
0.045,0.155,0,0,1.65581,0,0,0,0,0
0.045,0.165,0,0,1.75493,0,0,0,0,0
0.045,0.175,0,0,1.85395,0,0,0,0,0
0.045,0.185,0,0,1.95286,0,0,0,0,0
0.045,0.195,0,0,2.05165,0,0,0,0,0
0.045,0.205,0,0,2.15032,0,0,0,0,0
0.045,0.215,0,0,2.24887,0,0,0,0,0
0.045,0.225,0,0,2.34729,0,0,0,0,0
0.045,0.235,0,0,2.44558,0,0,0,0,0
0.045,0.245,0,0,2.54373,0,0,0,0,0
0.045,0.255,0,0,2.64174,0,0,0,0,0
0.045,0.265,0,0,2.73961,0,0,0,0,0
0.045,0.275,0,0,2.83733,0,0,0,0,0
0.045,0.285,0,0,2.9349,0,0,0,0,0
0.045,0.295,0,0,3.03231,0,0,0,0,0
0.045,0.305,0,0,3.12958,0,0,0,0,0
0.045,0.315,0,0,3.22668,0,0,0,0,0
0.045,0.325,0,0,3.32364,0,0,0,0,0
0.045,0.335,0,0,3.42044,0,0,0,0,0
0.045,0.345,0,0,3.51709,0,0,0,0,0
0.045,0.355,0,0,3.61358,0,0,0,0,0
0.045,0.365,0,0,3.70993,0,0,0,0,0
0.045,0.375,0,0,3.80614,0,0,0,0,0
0.045,0.385,0,0,3.90221,0,0,0,0,0
0.045,0.395,0,0,3.99815,0,0,0,0,0
0.045,0.405,0,0,4.09397,0,0,0,0,0
0.045,0.415,0,0,4.18967,0,0,0,0,0
0.045,0.425,0,0,4.28527,0,0,0,0,0
0.045,0.435,0,0,4.38077,0,0,0,0,0
0.045,0.445,0,0,4.47618,0,0,0,0,0
0.045,0.455,0,0,4.57153,0,0,0,0,0
0.045,0.465,0,0,4.66681,0,0,0,0,0
0.045,0.475,0,0,4.76204,0,0,0,0,0
0.045,0.485,0,0,4.85724,0,0,0,0,0
0.045,0.495,0,0,4.95241,0,0,0,0,0
0.045,0.505,0,0,5.04759,0,0,0,0,0
0.045,0.515,0,0,5.14276,0,0,0,0,0
0.045,0.525,0,0,5.23796,0,0,0,0,0
0.045,0.535,0,0,5.33319,0,0,0,0,0
0.045,0.545,0,0,5.42847,0,0,0,0,0
0.045,0.555,0,0,5.52382,0,0,0,0,0
0.045,0.565,0,0,5.61923,0,0,0,0,0
0.045,0.575,0,0,5.71473,0,0,0,0,0
0.045,0.585,0,0,5.81033,0,0,0,0,0
0.045,0.595,0,0,5.90603,0,0,0,0,0
0.045,0.605,0,0,6.00185,0,0,0,0,0
0.045,0.615,0,0,6.09779,0,0,0,0,0
0.045,0.625,0,0,6.19386,0,0,0,0,0
0.045,0.635,0,0,6.29007,0,0,0,0,0
0.045,0.645,0,0,6.38642,0,0,0,0,0
0.045,0.655,0,0,6.48291,0,0,0,0,0
0.045,0.665,0,0,6.57956,0,0,0,0,0
0.045,0.675,0,0,6.67636,0,0,0,0,0
0.045,0.685,0,0,6.77332,0,0,0,0,0
0.045,0.695,0,0,6.87042,0,0,0,0,0
0.045,0.705,0,0,6.96769,0,0,0,0,0
0.045,0.715,0,0,7.0651,0,0,0,0,0
0.045,0.725,0,0,7.16267,0,0,0,0,0
0.045,0.735,0,0,7.26039,0,0,0,0,0
0.045,0.745,0,0,7.35826,0,0,0,0,0
0.045,0.755,0,0,7.45627,0,0,0,0,0
0.045,0.765,0,0,7.55442,0,0,0,0,0
0.045,0.775,0,0,7.65271,0,0,0,0,0
0.045,0.785,0,0,7.75113,0,0,0,0,0
0.045,0.795,0,0,7.84968,0,0,0,0,0
0.045,0.805,0,0,7.94835,0,0,0,0,0
0.045,0.815,0,0,8.04714,0,0,0,0,0
0.045,0.825,0,0,8.14605,0,0,0,0,0
0.045,0.835,0,0,8.24507,0,0,0,0,0
0.045,0.845,0,0,8.34419,0,0,0,0,0
0.045,0.855,0,0,8.44341,0,0,0,0,0
0.045,0.865,0,0,8.54273,0,0,0,0,0
0.045,0.875,0,0,8.64213,0,0,0,0,0
0.045,0.885,0,0,8.74163,0,0,0,0,0
0.045,0.895,0,0,8.8412,0,0,0,0,0
0.045,0.905,0,0,8.94085,0,0,0,0,0
0.045,0.915,0,0,9.04057,0,0,0,0,0
0.045,0.925,0,0,9.14037,0,0,0,0,0
0.045,0.935,0,0,9.24022,0,0,0,0,0
0.045,0.945,0,0,9.34014,0,0,0,0,0
0.045,0.955,0,0,9.44011,0,0,0,0,0
0.045,0.965,0,0,9.54014,0,0,0,0,0
0.045,0.975,0,0,9.64021,0,0,0,0,0
0.045,0.985,0,0,9.74033,0,0,0,0,0
0.055,0.015,0,0,0.261945,0,0,0,0,0
0.055,0.025,0,0,0.362121,0,0,0,0,0
0.055,0.035,0,0,0.462251,0,0,0,0,0
0.055,0.045,0,0,0.562332,0,0,0,0,0
0.055,0.055,0,0,0.66236,0,0,0,0,0
0.055,0.065,0,0,0.762331,0,0,0,0,0
0.055,0.075,0,0,0.862241,0,0,0,0,0
0.055,0.085,0,0,0.962086,0,0,0,0,0
0.055,0.095,0,0,1.06186,0,0,0,0,0
0.055,0.105,0,0,1.16157,0,0,0,0,0
0.055,0.115,0,0,1.26119,0,0,0,0,0
0.055,0.125,0,0,1.36073,0,0,0,0,0
0.055,0.135,0,0,1.46019,0,0,0,0,0
0.055,0.145,0,0,1.55955,0,0,0,0,0
0.055,0.155,0,0,1.65882,0,0,0,0,0
0.055,0.165,0,0,1.75798,0,0,0,0,0
0.055,0.175,0,0,1.85703,0,0,0,0,0
0.055,0.185,0,0,1.95597,0,0,0,0,0
0.055,0.195,0,0,2.05479,0,0,0,0,0
0.055,0.205,0,0,2.15349,0,0,0,0,0
0.055,0.215,0,0,2.25206,0,0,0,0,0
0.055,0.225,0,0,2.35049,0,0,0,0,0
0.055,0.235,0,0,2.44879,0,0,0,0,0
0.055,0.245,0,0,2.54694,0,0,0,0,0
0.055,0.255,0,0,2.64494,0,0,0,0,0
0.055,0.265,0,0,2.74279,0,0,0,0,0
0.055,0.275,0,0,2.84049,0,0,0,0,0
0.055,0.285,0,0,2.93802,0,0,0,0,0
0.055,0.295,0,0,3.0354,0,0,0,0,0
0.055,0.305,0,0,3.13261,0,0,0,0,0
0.055,0.315,0,0,3.22966,0,0,0,0,0
0.055,0.325,0,0,3.32654,0,0,0,0,0
0.055,0.335,0,0,3.42325,0,0,0,0,0
0.055,0.345,0,0,3.5198,0,0,0,0,0
0.055,0.355,0,0,3.61619,0,0,0,0,0
0.055,0.365,0,0,3.71243,0,0,0,0,0
0.055,0.375,0,0,3.80851,0,0,0,0,0
0.055,0.385,0,0,3.90444,0,0,0,0,0
0.055,0.395,0,0,4.00023,0,0,0,0,0
0.055,0.405,0,0,4.09588,0,0,0,0,0
0.055,0.415,0,0,4.19141,0,0,0,0,0
0.055,0.425,0,0,4.28683,0,0,0,0,0
0.055,0.435,0,0,4.38214,0,0,0,0,0
0.055,0.445,0,0,4.47736,0,0,0,0,0
0.055,0.455,0,0,4.57249,0,0,0,0,0
0.055,0.465,0,0,4.66757,0,0,0,0,0
0.055,0.475,0,0,4.76258,0,0,0,0,0
0.055,0.485,0,0,4.85757,0,0,0,0,0
0.055,0.495,0,0,4.95252,0,0,0,0,0
0.055,0.505,0,0,5.04748,0,0,0,0,0
0.055,0.515,0,0,5.14243,0,0,0,0,0
0.055,0.525,0,0,5.23742,0,0,0,0,0
0.055,0.535,0,0,5.33243,0,0,0,0,0
0.055,0.545,0,0,5.42751,0,0,0,0,0
0.055,0.555,0,0,5.52264,0,0,0,0,0
0.055,0.565,0,0,5.61786,0,0,0,0,0
0.055,0.575,0,0,5.71317,0,0,0,0,0
0.055,0.585,0,0,5.80859,0,0,0,0,0
0.055,0.595,0,0,5.90412,0,0,0,0,0
0.055,0.605,0,0,5.99977,0,0,0,0,0
0.055,0.615,0,0,6.09556,0,0,0,0,0
0.055,0.625,0,0,6.19149,0,0,0,0,0
0.055,0.635,0,0,6.28757,0,0,0,0,0
0.055,0.645,0,0,6.38381,0,0,0,0,0
0.055,0.655,0,0,6.4802,0,0,0,0,0
0.055,0.665,0,0,6.57675,0,0,0,0,0
0.055,0.675,0,0,6.67346,0,0,0,0,0
0.055,0.685,0,0,6.77034,0,0,0,0,0
0.055,0.695,0,0,6.86739,0,0,0,0,0
0.055,0.705,0,0,6.9646,0,0,0,0,0
0.055,0.715,0,0,7.06198,0,0,0,0,0
0.055,0.725,0,0,7.15951,0,0,0,0,0
0.055,0.735,0,0,7.25721,0,0,0,0,0
0.055,0.745,0,0,7.35506,0,0,0,0,0
0.055,0.755,0,0,7.45306,0,0,0,0,0
0.055,0.765,0,0,7.55121,0,0,0,0,0
0.055,0.775,0,0,7.64951,0,0,0,0,0
0.055,0.785,0,0,7.74794,0,0,0,0,0
0.055,0.795,0,0,7.84651,0,0,0,0,0
0.055,0.805,0,0,7.94521,0,0,0,0,0
0.055,0.815,0,0,8.04403,0,0,0,0,0
0.055,0.825,0,0,8.14297,0,0,0,0,0
0.055,0.835,0,0,8.24202,0,0,0,0,0
0.055,0.845,0,0,8.34118,0,0,0,0,0
0.055,0.855,0,0,8.44045,0,0,0,0,0
0.055,0.865,0,0,8.53981,0,0,0,0,0
0.055,0.875,0,0,8.63927,0,0,0,0,0
0.055,0.885,0,0,8.73881,0,0,0,0,0
0.055,0.895,0,0,8.83843,0,0,0,0,0
0.055,0.905,0,0,8.93814,0,0,0,0,0
0.055,0.915,0,0,9.03791,0,0,0,0,0
0.055,0.925,0,0,9.13776,0,0,0,0,0
0.055,0.935,0,0,9.23767,0,0,0,0,0
0.055,0.945,0,0,9.33764,0,0,0,0,0
0.055,0.955,0,0,9.43767,0,0,0,0,0
0.055,0.965,0,0,9.53775,0,0,0,0,0
0.055,0.975,0,0,9.63788,0,0,0,0,0
0.055,0.985,0,0,9.73806,0,0,0,0,0
0.065,0.015,0,0,0.264266,0,0,0,0,0
0.065,0.025,0,0,0.364499,0,0,0,0,0
0.065,0.035,0,0,0.464687,0,0,0,0,0
0.065,0.045,0,0,0.564826,0,0,0,0,0
0.065,0.055,0,0,0.664913,0,0,0,0,0
0.065,0.065,0,0,0.764943,0,0,0,0,0
0.065,0.075,0,0,0.864911,0,0,0,0,0
0.065,0.085,0,0,0.964815,0,0,0,0,0
0.065,0.095,0,0,1.06465,0,0,0,0,0
0.065,0.105,0,0,1.16441,0,0,0,0,0
0.065,0.115,0,0,1.26409,0,0,0,0,0
0.065,0.125,0,0,1.36369,0,0,0,0,0
