X,Y,U,V,Stream,Density,Cp,Solid,P,T
0,0,0,0,-0.127884,0,0,0,0,0
0,0,0,0,-0.11777,0,0,0,0,0
0,0,0,0,-0.112846,0,0,0,0,0
0,0,0,0,-0.109976,0,0,0,0,0
0,0,0,0,-0.108032,0,0,0,0,0
0,0,0,0,-0.106548,0,0,0,0,0
0,0,0,0,-0.105307,0,0,0,0,0
0,0,0,0,-0.104195,0,0,0,0,0
0,0,0,0,-0.103147,0,0,0,0,0
0,0,0,0,-0.102122,0,0,0,0,0
0,0,0,0,-0.101094,0,0,0,0,0
0,0,0,0,-0.100043,0,0,0,0,0
0,0,0,0,-0.0989542,0,0,0,0,0
0,0,0,0,-0.0978176,0,0,0,0,0
0,0,0,0,-0.0966238,0,0,0,0,0
0,0,0,0,-0.0953654,0,0,0,0,0
0,0,0,0,-0.0940359,0,0,0,0,0
0,0,0,0,-0.0926297,0,0,0,0,0
0,0,0,0,-0.0911418,0,0,0,0,0
0,0,0,0,-0.0895676,0,0,0,0,0
0,0,0,0,-0.0879032,0,0,0,0,0
0,0,0,0,-0.0861449,0,0,0,0,0
0,0,0,0,-0.0842895,0,0,0,0,0
0,0,0,0,-0.082334,0,0,0,0,0
0,0,0,0,-0.0802761,0,0,0,0,0
0,0,0,0,-0.0781135,0,0,0,0,0
0,0,0,0,-0.0758446,0,0,0,0,0
0,0,0,0,-0.0734681,0,0,0,0,0
0,0,0,0,-0.0709833,0,0,0,0,0
0,0,0,0,-0.0683897,0,0,0,0,0
0,0,0,0,-0.0656876,0,0,0,0,0
0,0,0,0,-0.0628776,0,0,0,0,0
0,0,0,0,-0.0599609,0,0,0,0,0
0,0,0,0,-0.0569393,0,0,0,0,0
0,0,0,0,-0.0538152,0,0,0,0,0
0,0,0,0,-0.0505915,0,0,0,0,0
0,0,0,0,-0.0472718,0,0,0,0,0
0,0,0,0,-0.0438602,0,0,0,0,0
0,0,0,0,-0.0403615,0,0,0,0,0
0,0,0,0,-0.0367809,0,0,0,0,0
0,0,0,0,-0.0331243,0,0,0,0,0
0,0,0,0,-0.0293982,0,0,0,0,0
0,0,0,0,-0.0256093,0,0,0,0,0
0,0,0,0,-0.0217652,0,0,0,0,0
0,0,0,0,-0.0178734,0,0,0,0,0
0,0,0,0,-0.0139423,0,0,0,0,0
0,0,0,0,-0.00998016,0,0,0,0,0
0,0,0,0,-0.00599572,0,0,0,0,0
0,0,0,0,-0.00199782,0,0,0,0,0
0,0,0,0,0.00200458,0,0,0,0,0
0,0,0,0,0.00600248,0,0,0,0,0
0,0,0,0,0.00998694,0,0,0,0,0
0,0,0,0,0.0139491,0,0,0,0,0
0,0,0,0,0.0178802,0,0,0,0,0
0,0,0,0,0.021772,0,0,0,0,0
0,0,0,0,0.0256162,0,0,0,0,0
0,0,0,0,0.029405,0,0,0,0,0
0,0,0,0,0.0331312,0,0,0,0,0
0,0,0,0,0.0367878,0,0,0,0,0
0,0,0,0,0.0403684,0,0,0,0,0
0,0,0,0,0.0438671,0,0,0,0,0
0,0,0,0,0.0472788,0,0,0,0,0
0,0,0,0,0.0505985,0,0,0,0,0
0,0,0,0,0.0538222,0,0,0,0,0
0,0,0,0,0.0569463,0,0,0,0,0
0,0,0,0,0.0599678,0,0,0,0,0
0,0,0,0,0.0628845,0,0,0,0,0
0,0,0,0,0.0656945,0,0,0,0,0
0,0,0,0,0.0683967,0,0,0,0,0
0,0,0,0,0.0709902,0,0,0,0,0
0,0,0,0,0.073475,0,0,0,0,0
0,0,0,0,0.0758514,0,0,0,0,0
0,0,0,0,0.0781202,0,0,0,0,0
0,0,0,0,0.0802827,0,0,0,0,0
0,0,0,0,0.0823406,0,0,0,0,0
0,0,0,0,0.0842959,0,0,0,0,0
0,0,0,0,0.0861512,0,0,0,0,0
0,0,0,0,0.0879094,0,0,0,0,0
0,0,0,0,0.0895736,0,0,0,0,0
0,0,0,0,0.0911476,0,0,0,0,0
0,0,0,0,0.0926353,0,0,0,0,0
0,0,0,0,0.0940413,0,0,0,0,0
0,0,0,0,0.0953706,0,0,0,0,0
0,0,0,0,0.0966287,0,0,0,0,0
0,0,0,0,0.0978222,0,0,0,0,0
0,0,0,0,0.0989586,0,0,0,0,0
0,0,0,0,0.100047,0,0,0,0,0
0,0,0,0,0.101098,0,0,0,0,0
0,0,0,0,0.102126,0,0,0,0,0
0,0,0,0,0.10315,0,0,0,0,0
0,0,0,0,0.104198,0,0,0,0,0
0,0,0,0,0.10531,0,0,0,0,0
0,0,0,0,0.10655,0,0,0,0,0
0,0,0,0,0.108034,0,0,0,0,0
0,0,0,0,0.109978,0,0,0,0,0
0,0,0,0,0.112847,0,0,0,0,0
0,0,0,0,0.117771,0,0,0,0,0
0,0,0,0,0.127884,0,0,0,0,0
0,0,0,0,-0.139705,0,0,0,0,0
0,0,0,0,-0.129427,0,0,0,0,0
0,0,0,0,-0.122824,0,0,0,0,0
0,0,0,0,-0.118374,0,0,0,0,0
0,0,0,0,-0.115164,0,0,0,0,0
0,0,0,0,-0.112681,0,0,0,0,0
0,0,0,0,-0.110637,0,0,0,0,0
0,0,0,0,-0.108865,0,0,0,0,0
0,0,0,0,-0.107261,0,0,0,0,0
0,0,0,0,-0.105757,0,0,0,0,0
0,0,0,0,-0.104309,0,0,0,0,0
0,0,0,0,-0.102884,0,0,0,0,0
0,0,0,0,-0.101459,0,0,0,0,0
0,0,0,0,-0.100018,0,0,0,0,0
0,0,0,0,-0.0985451,0,0,0,0,0
0,0,0,0,-0.0970301,0,0,0,0,0
0,0,0,0,-0.0954636,0,0,0,0,0
0,0,0,0,-0.0938379,0,0,0,0,0
0,0,0,0,-0.0921465,0,0,0,0,0
0,0,0,0,-0.0903835,0,0,0,0,0
0,0,0,0,-0.0885441,0,0,0,0,0
0,0,0,0,-0.0866238,0,0,0,0,0
0,0,0,0,-0.0846188,0,0,0,0,0
0,0,0,0,-0.0825258,0,0,0,0,0
0,0,0,0,-0.0803421,0,0,0,0,0
0,0,0,0,-0.0780652,0,0,0,0,0
0,0,0,0,-0.0756933,0,0,0,0,0
0,0,0,0,-0.073225,0,0,0,0,0
0,0,0,0,-0.0706593,0,0,0,0,0
0,0,0,0,-0.0679957,0,0,0,0,0
0,0,0,0,-0.0652343,0,0,0,0,0
0,0,0,0,-0.0623756,0,0,0,0,0
0,0,0,0,-0.0594206,0,0,0,0,0
0,0,0,0,-0.0563711,0,0,0,0,0
0,0,0,0,-0.053229,0,0,0,0,0
0,0,0,0,-0.0499971,0,0,0,0,0
0,0,0,0,-0.0466786,0,0,0,0,0
0,0,0,0,-0.0432772,0,0,0,0,0
0,0,0,0,-0.0397973,0,0,0,0,0
0,0,0,0,-0.0362436,0,0,0,0,0
0,0,0,0,-0.0326216,0,0,0,0,0
0,0,0,0,-0.0289369,0,0,0,0,0
0,0,0,0,-0.0251958,0,0,0,0,0
0,0,0,0,-0.021405,0,0,0,0,0
0,0,0,0,-0.0175714,0,0,0,0,0
0,0,0,0,-0.0137024,0,0,0,0,0
0,0,0,0,-0.0098056,0,0,0,0,0
0,0,0,0,-0.00588872,0,0,0,0,0
0,0,0,0,-0.00195975,0,0,0,0,0
0,0,0,0,0.00197326,0,0,0,0,0
0,0,0,0,0.00590223,0,0,0,0,0
0,0,0,0,0.00981913,0,0,0,0,0
0,0,0,0,0.013716,0,0,0,0,0
0,0,0,0,0.017585,0,0,0,0,0
0,0,0,0,0.0214186,0,0,0,0,0
0,0,0,0,0.0252095,0,0,0,0,0
0,0,0,0,0.0289506,0,0,0,0,0
0,0,0,0,0.0326353,0,0,0,0,0
0,0,0,0,0.0362574,0,0,0,0,0
0,0,0,0,0.0398111,0,0,0,0,0
0,0,0,0,0.0432911,0,0,0,0,0
0,0,0,0,0.0466925,0,0,0,0,0
0,0,0,0,0.050011,0,0,0,0,0
0,0,0,0,0.053243,0,0,0,0,0
0,0,0,0,0.056385,0,0,0,0,0
0,0,0,0,0.0594346,0,0,0,0,0
0,0,0,0,0.0623895,0,0,0,0,0
0,0,0,0,0.0652482,0,0,0,0,0
0,0,0,0,0.0680096,0,0,0,0,0
0,0,0,0,0.0706731,0,0,0,0,0
0,0,0,0,0.0732387,0,0,0,0,0
0,0,0,0,0.0757069,0,0,0,0,0
0,0,0,0,0.0780787,0,0,0,0,0
0,0,0,0,0.0803553,0,0,0,0,0
0,0,0,0,0.0825389,0,0,0,0,0
0,0,0,0,0.0846316,0,0,0,0,0
0,0,0,0,0.0866363,0,0,0,0,0
0,0,0,0,0.0885563,0,0,0,0,0
0,0,0,0,0.0903955,0,0,0,0,0
0,0,0,0,0.0921581,0,0,0,0,0
0,0,0,0,0.0938491,0,0,0,0,0
0,0,0,0,0.0954744,0,0,0,0,0
0,0,0,0,0.0970404,0,0,0,0,0
0,0,0,0,0.0985549,0,0,0,0,0
0,0,0,0,0.100027,0,0,0,0,0
0,0,0,0,0.101468,0,0,0,0,0
0,0,0,0,0.102892,0,0,0,0,0
0,0,0,0,0.104316,0,0,0,0,0
0,0,0,0,0.105764,0,0,0,0,0
0,0,0,0,0.107267,0,0,0,0,0
0,0,0,0,0.108871,0,0,0,0,0
0,0,0,0,0.110643,0,0,0,0,0
0,0,0,0,0.112685,0,0,0,0,0
0,0,0,0,0.115167,0,0,0,0,0
0,0,0,0,0.118377,0,0,0,0,0
0,0,0,0,0.122826,0,0,0,0,0
0,0,0,0,0.129429,0,0,0,0,0
0,0,0,0,0.139705,0,0,0,0,0
0,0,0,0,-0.146334,0,0,0,0,0
0,0,0,0,-0.137411,0,0,0,0,0
0,0,0,0,-0.130646,0,0,0,0,0
0,0,0,0,-0.125534,0,0,0,0,0
0,0,0,0,-0.121568,0,0,0,0,0
0,0,0,0,-0.118374,0,0,0,0,0
0,0,0,0,-0.115697,0,0,0,0,0
0,0,0,0,-0.113368,0,0,0,0,0
0,0,0,0,-0.111274,0,0,0,0,0
0,0,0,0,-0.109336,0,0,0,0,0
0,0,0,0,-0.1075,0,0,0,0,0
0,0,0,0,-0.105725,0,0,0,0,0
0,0,0,0,-0.103982,0,0,0,0,0
0,0,0,0,-0.102249,0,0,0,0,0
