X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.015,0.015,11.765,1.72322,0.125209,1.225,-0.413848,0,99975.8,297.979
0.015,0.025,10.7473,1.20821,0.2353,1.225,-0.16965,0,99990.1,297.992
0.015,0.035,10.3803,0.879209,0.340156,1.225,-0.0852438,0,99995,297.996
0.015,0.045,10.2262,0.660425,0.442907,1.225,-0.0501168,0,99997.1,297.998
0.015,0.055,10.1515,0.506209,0.54468,1.225,-0.0330987,0,99998.1,297.998
0.015,0.065,10.1107,0.391177,0.645937,1.225,-0.0237857,0,99998.6,297.999
0.015,0.075,10.086,0.301105,0.746893,1.225,-0.0181855,0,99998.9,297.999
0.015,0.085,10.07,0.227737,0.847658,1.225,-0.014566,0,99999.1,297.999
0.015,0.095,10.0589,0.166071,0.948293,1.225,-0.0120924,0,99999.3,297.999
0.015,0.105,10.0509,0.112949,1.04884,1.225,-0.0103252,0,99999.4,297.999
0.015,0.115,10.0448,0.0663031,1.14931,1.225,-0.00901538,0,99999.5,298
0.015,0.125,10.04,0.0247371,1.24973,1.225,-0.00801355,0,99999.5,298
0.015,0.135,10.0361,-0.0127163,1.35011,1.225,-0.0072252,0,99999.6,298
0.015,0.145,10.0328,-0.0467399,1.45045,1.225,-0.00658806,0,99999.6,298
0.015,0.155,10.0299,-0.0778228,1.55077,1.225,-0.00605953,0,99999.6,298
0.015,0.165,10.0274,-0.106318,1.65105,1.225,-0.0056095,0,99999.7,298
0.015,0.175,10.0252,-0.13248,1.75131,1.225,-0.00521607,0,99999.7,298
0.015,0.185,10.0231,-0.156494,1.85155,1.225,-0.00486287,0,99999.7,298
0.015,0.195,10.0211,-0.17849,1.95178,1.225,-0.0045374,0,99999.7,298
0.015,0.205,10.0192,-0.198559,2.05198,1.225,-0.00422991,0,99999.8,298
0.015,0.215,10.0173,-0.216759,2.15216,1.225,-0.00393268,0,99999.8,298
0.015,0.225,10.0155,-0.233127,2.25232,1.225,-0.00363955,0,99999.8,298
0.015,0.235,10.0137,-0.247682,2.35247,1.225,-0.00334556,0,99999.8,298
0.015,0.245,10.0118,-0.260428,2.4526,1.225,-0.00304673,0,99999.8,298
0.015,0.255,10.01,-0.27136,2.5527,1.225,-0.00273994,0,99999.8,298
0.015,0.265,10.0082,-0.280466,2.6528,1.225,-0.00242279,0,99999.9,298
0.015,0.275,10.0063,-0.287731,2.75287,1.225,-0.00209358,0,99999.9,298
0.015,0.285,10.0045,-0.293136,2.85292,1.225,-0.00175123,0,99999.9,298
0.015,0.295,10.0026,-0.296664,2.95296,1.225,-0.00139528,0,99999.9,298
0.015,0.305,10.0007,-0.298299,3.05297,1.225,-0.00102587,0,99999.9,298
0.015,0.315,9.99878,-0.298032,3.15297,1.225,-0.000643718,0,100000,298
0.015,0.325,9.99687,-0.295855,3.25295,1.225,-0.000250128,0,100000,298
0.015,0.335,9.99498,-0.291772,3.35291,1.225,0.00015304,0,100000,298
0.015,0.345,9.9931,-0.285793,3.45285,1.225,0.000563386,0,100000,298
0.015,0.355,9.99124,-0.277938,3.55277,1.225,0.000978,0,100000,298
0.015,0.365,9.98943,-0.268241,3.65267,1.225,0.0013935,0,100000,298
0.015,0.375,9.98767,-0.256746,3.75256,1.225,0.00180611,0,100000,298
0.015,0.385,9.98597,-0.243509,3.85243,1.225,0.00221166,0,100000,298
0.015,0.395,9.98435,-0.228602,3.95228,1.225,0.00260576,0,100000,298
0.015,0.405,9.98282,-0.212109,4.05211,1.225,0.0029838,0,100000,298
0.015,0.415,9.98139,-0.19413,4.15193,1.225,0.00334111,0,100000,298
0.015,0.425,9.98009,-0.174776,4.25174,1.225,0.00367303,0,100000,298
0.015,0.435,9.97891,-0.154174,4.35154,1.225,0.00397504,0,100000,298
0.015,0.445,9.97788,-0.132461,4.45132,1.225,0.00424288,0,100000,298
0.015,0.455,9.97701,-0.109787,4.55109,1.225,0.00447263,0,100000,298
0.015,0.465,9.9763,-0.0863128,4.65086,1.225,0.00466087,0,100000,298
0.015,0.475,9.97575,-0.0622061,4.75062,1.225,0.00480471,0,100000,298
0.015,0.485,9.97539,-0.0376427,4.85038,1.225,0.00490193,0,100000,298
0.015,0.495,9.97521,-0.0128033,4.95013,1.225,0.00495098,0,100000,298
0.015,0.505,9.97521,0.0121283,5.04988,1.225,0.00495111,0,100000,298
0.015,0.515,9.97539,0.0369673,5.14963,1.225,0.00490231,0,100000,298
0.015,0.525,9.97575,0.0615298,5.24939,1.225,0.00480536,0,100000,298
0.015,0.535,9.9763,0.0856354,5.34915,1.225,0.00466178,0,100000,298
0.015,0.545,9.97701,0.109108,5.44891,1.225,0.0044738,0,100000,298
0.015,0.555,9.97789,0.13178,5.54869,1.225,0.0042443,0,100000,298
0.015,0.565,9.97892,0.153491,5.64847,1.225,0.00397673,0,100000,298
0.015,0.575,9.98009,0.174091,5.74827,1.225,0.00367498,0,100000,298
0.015,0.585,9.9814,0.193443,5.84807,1.225,0.00334332,0,100000,298
0.015,0.595,9.98282,0.21142,5.94789,1.225,0.00298628,0,100000,298
0.015,0.605,9.98435,0.22791,6.04773,1.225,0.00260849,0,100000,298
0.015,0.615,9.98597,0.242815,6.14758,1.225,0.00221465,0,100000,298
0.015,0.625,9.98767,0.25605,6.24745,1.225,0.00180935,0,100000,298
