X,Y,U,V,Stream,Density,Cp,Solid
0,0,0,0,-0.155453,0,0,0
0,0,0,0,-0.134665,0,0,0
0,0,0,0,-0.124142,0,0,0
0,0,0,0,-0.117601,0,0,0
0,0,0,0,-0.112766,0,0,0
0,0,0,0,-0.108691,0,0,0
0,0,0,0,-0.104922,0,0,0
0,0,0,0,-0.101215,0,0,0
0,0,0,0,-0.097421,0,0,0
0,0,0,0,-0.0934438,0,0,0
0,0,0,0,-0.0892152,0,0,0
0,0,0,0,-0.084686,0,0,0
0,0,0,0,-0.0798208,0,0,0
0,0,0,0,-0.0745953,0,0,0
0,0,0,0,-0.0689953,0,0,0
0,0,0,0,-0.063016,0,0,0
0,0,0,0,-0.0566624,0,0,0
0,0,0,0,-0.0499491,0,0,0
0,0,0,0,-0.0428999,0,0,0
0,0,0,0,-0.0355479,0,0,0
0,0,0,0,-0.0279349,0,0,0
0,0,0,0,-0.0201101,0,0,0
0,0,0,0,-0.0121293,0,0,0
0,0,0,0,-0.00405277,0,0,0
0,0,0,0,0.00405595,0,0,0
0,0,0,0,0.0121325,0,0,0
0,0,0,0,0.0201133,0,0,0
0,0,0,0,0.0279381,0,0,0
0,0,0,0,0.0355511,0,0,0
0,0,0,0,0.0429031,0,0,0
0,0,0,0,0.0499524,0,0,0
0,0,0,0,0.0566657,0,0,0
0,0,0,0,0.0630193,0,0,0
0,0,0,0,0.0689986,0,0,0
0,0,0,0,0.0745986,0,0,0
0,0,0,0,0.079824,0,0,0
0,0,0,0,0.0846891,0,0,0
0,0,0,0,0.0892182,0,0,0
0,0,0,0,0.0934467,0,0,0
0,0,0,0,0.0974237,0,0,0
0,0,0,0,0.101217,0,0,0
0,0,0,0,0.104925,0,0,0
0,0,0,0,0.108693,0,0,0
0,0,0,0,0.112768,0,0,0
0,0,0,0,0.117602,0,0,0
0,0,0,0,0.124143,0,0,0
0,0,0,0,0.134665,0,0,0
0,0,0,0,0.155454,0,0,0
0,0,0,0,-0.178905,0,0,0
0,0,0,0,-0.157392,0,0,0
0,0,0,0,-0.143124,0,0,0
0,0,0,0,-0.133053,0,0,0
0,0,0,0,-0.125334,0,0,0
0,0,0,0,-0.118932,0,0,0
0,0,0,0,-0.113258,0,0,0
0,0,0,0,-0.10796,0,0,0
0,0,0,0,-0.102819,0,0,0
0,0,0,0,-0.0976885,0,0,0
0,0,0,0,-0.0924696,0,0,0
0,0,0,0,-0.0870916,0,0,0
0,0,0,0,-0.0815049,0,0,0
0,0,0,0,-0.0756752,0,0,0
0,0,0,0,-0.0695809,0,0,0
0,0,0,0,-0.0632113,0,0,0
0,0,0,0,-0.0565658,0,0,0
0,0,0,0,-0.0496526,0,0,0
0,0,0,0,-0.0424885,0,0,0
0,0,0,0,-0.0350979,0,0,0
0,0,0,0,-0.0275119,0,0,0
0,0,0,0,-0.0197677,0,0,0
0,0,0,0,-0.0119069,0,0,0
