X,Y,U,V,Stream,Density,Cp,Solid
0.02,0.02,0,0,0.304167,0,0,0
0.02,0.0333333,0,0,0.437459,0,0,0
0.02,0.0466667,0,0,0.570663,0,0,0
0.02,0.06,0,0,0.703774,0,0,0
0.02,0.0733333,0,0,0.836782,0,0,0
0.02,0.0866667,0,0,0.96968,0,0,0
0.02,0.1,0,0,1.10246,0,0,0
0.02,0.113333,0,0,1.23511,0,0,0
0.02,0.126667,0,0,1.36763,0,0,0
0.02,0.14,0,0,1.5,0,0,0
0.02,0.153333,0,0,1.63222,0,0,0
0.02,0.166667,0,0,1.76427,0,0,0
0.02,0.18,0,0,1.89615,0,0,0
0.02,0.193333,0,0,2.02785,0,0,0
0.02,0.206667,0,0,2.15936,0,0,0
0.02,0.22,0,0,2.29067,0,0,0
0.02,0.233333,0,0,2.42178,0,0,0
0.02,0.246667,0,0,2.55267,0,0,0
0.02,0.26,0,0,2.68333,0,0,0
0.02,0.273333,0,0,2.81377,0,0,0
0.02,0.286667,0,0,2.94399,0,0,0
0.02,0.3,0,0,3.07396,0,0,0
0.02,0.313333,0,0,3.20371,0,0,0
0.02,0.326667,0,0,3.33322,0,0,0
0.02,0.34,0,0,3.4625,0,0,0
0.02,0.353333,0,0,3.59155,0,0,0
0.02,0.366667,0,0,3.72039,0,0,0
0.02,0.38,0,0,3.84902,0,0,0
0.02,0.393333,0,0,3.97745,0,0,0
0.02,0.406667,0,0,4.1057,0,0,0
0.02,0.42,0,0,4.23378,0,0,0
0.02,0.433333,0,0,4.36172,0,0,0
0.02,0.446667,0,0,4.48953,0,0,0
0.02,0.46,0,0,4.61724,0,0,0
0.02,0.473333,0,0,4.74487,0,0,0
0.02,0.486667,0,0,4.87245,0,0,0
0.02,0.5,0,0,5,0,0,0
0.02,0.513333,0,0,5.12755,0,0,0
0.02,0.526667,0,0,5.25513,0,0,0
0.02,0.54,0,0,5.38276,0,0,0
0.02,0.553333,0,0,5.51047,0,0,0
0.02,0.566667,0,0,5.63828,0,0,0
0.02,0.58,0,0,5.76622,0,0,0
0.02,0.593333,0,0,5.8943,0,0,0
0.02,0.606667,0,0,6.02255,0,0,0
0.02,0.62,0,0,6.15098,0,0,0
0.02,0.633333,0,0,6.27961,0,0,0
0.02,0.646667,0,0,6.40845,0,0,0
0.02,0.66,0,0,6.5375,0,0,0
0.02,0.673333,0,0,6.66678,0,0,0
0.02,0.686667,0,0,6.79629,0,0,0
0.02,0.7,0,0,6.92604,0,0,0
0.02,0.713333,0,0,7.05601,0,0,0
0.02,0.726667,0,0,7.18623,0,0,0
0.02,0.74,0,0,7.31667,0,0,0
0.02,0.753333,0,0,7.44733,0,0,0
0.02,0.766667,0,0,7.57822,0,0,0
0.02,0.78,0,0,7.70933,0,0,0
0.02,0.793333,0,0,7.84064,0,0,0
0.02,0.806667,0,0,7.97215,0,0,0
0.02,0.82,0,0,8.10385,0,0,0
0.02,0.833333,0,0,8.23573,0,0,0
0.02,0.846667,0,0,8.36778,0,0,0
0.02,0.86,0,0,8.5,0,0,0
0.02,0.873333,0,0,8.63237,0,0,0
0.02,0.886667,0,0,8.76489,0,0,0
0.02,0.9,0,0,8.89754,0,0,0
0.02,0.913333,0,0,9.03032,0,0,0
0.02,0.926667,0,0,9.16322,0,0,0
0.02,0.94,0,0,9.29623,0,0,0
0.02,0.953333,0,0,9.42934,0,0,0
0.02,0.966667,0,0,9.56254,0,0,0
0.02,0.98,0,0,9.69583,0,0,0
0.0333333,0.02,0,0,0.3071,0,0,0
0.0333333,0.0333333,0,0,0.440476,0,0,0
0.0333333,0.0466667,0,0,0.573765,0,0,0
0.0333333,0.06,0,0,0.706958,0,0,0
0.0333333,0.0733333,0,0,0.840047,0,0,0
0.0333333,0.0866667,0,0,0.973025,0,0,0
0.0333333,0.1,0,0,1.10588,0,0,0
0.0333333,0.113333,0,0,1.23861,0,0,0
0.0333333,0.126667,0,0,1.3712,0,0,0
0.0333333,0.14,0,0,1.50363,0,0,0
0.0333333,0.153333,0,0,1.63591,0,0,0
0.0333333,0.166667,0,0,1.76802,0,0,0
0.0333333,0.18,0,0,1.89994,0,0,0
0.0333333,0.193333,0,0,2.03168,0,0,0
0.0333333,0.206667,0,0,2.16321,0,0,0
0.0333333,0.22,0,0,2.29454,0,0,0
0.0333333,0.233333,0,0,2.42564,0,0,0
0.0333333,0.246667,0,0,2.55652,0,0,0
0.0333333,0.26,0,0,2.68715,0,0,0
0.0333333,0.273333,0,0,2.81755,0,0,0
0.0333333,0.286667,0,0,2.94769,0,0,0
0.0333333,0.3,0,0,3.07759,0,0,0
0.0333333,0.313333,0,0,3.20722,0,0,0
0.0333333,0.326667,0,0,3.33661,0,0,0
0.0333333,0.34,0,0,3.46574,0,0,0
0.0333333,0.353333,0,0,3.59463,0,0,0
0.0333333,0.366667,0,0,3.72327,0,0,0
0.0333333,0.38,0,0,3.85168,0,0,0
0.0333333,0.393333,0,0,3.97988,0,0,0
0.0333333,0.406667,0,0,4.10788,0,0,0
0.0333333,0.42,0,0,4.23569,0,0,0
0.0333333,0.433333,0,0,4.36333,0,0,0
0.0333333,0.446667,0,0,4.49084,0,0,0
0.0333333,0.46,0,0,4.61823,0,0,0
0.0333333,0.473333,0,0,4.74554,0,0,0
0.0333333,0.486667,0,0,4.87278,0,0,0
0.0333333,0.5,0,0,5,0,0,0
0.0333333,0.513333,0,0,5.12722,0,0,0
0.0333333,0.526667,0,0,5.25446,0,0,0
0.0333333,0.54,0,0,5.38177,0,0,0
0.0333333,0.553333,0,0,5.50916,0,0,0
0.0333333,0.566667,0,0,5.63667,0,0,0
0.0333333,0.58,0,0,5.76431,0,0,0
0.0333333,0.593333,0,0,5.89212,0,0,0
0.0333333,0.606667,0,0,6.02012,0,0,0
0.0333333,0.62,0,0,6.14832,0,0,0
0.0333333,0.633333,0,0,6.27673,0,0,0
0.0333333,0.646667,0,0,6.40537,0,0,0
0.0333333,0.66,0,0,6.53426,0,0,0
0.0333333,0.673333,0,0,6.66339,0,0,0
0.0333333,0.686667,0,0,6.79278,0,0,0
0.0333333,0.7,0,0,6.92241,0,0,0
0.0333333,0.713333,0,0,7.05231,0,0,0
0.0333333,0.726667,0,0,7.18245,0,0,0
0.0333333,0.74,0,0,7.31285,0,0,0
0.0333333,0.753333,0,0,7.44348,0,0,0
0.0333333,0.766667,0,0,7.57436,0,0,0
0.0333333,0.78,0,0,7.70546,0,0,0
0.0333333,0.793333,0,0,7.83679,0,0,0
0.0333333,0.806667,0,0,7.96832,0,0,0
0.0333333,0.82,0,0,8.10006,0,0,0
0.0333333,0.833333,0,0,8.23198,0,0,0
0.0333333,0.846667,0,0,8.36409,0,0,0
0.0333333,0.86,0,0,8.49637,0,0,0
0.0333333,0.873333,0,0,8.6288,0,0,0
0.0333333,0.886667,0,0,8.76139,0,0,0
0.0333333,0.9,0,0,8.89412,0,0,0
0.0333333,0.913333,0,0,9.02697,0,0,0
0.0333333,0.926667,0,0,9.15995,0,0,0
0.0333333,0.94,0,0,9.29304,0,0,0
0.0333333,0.953333,0,0,9.42624,0,0,0
0.0333333,0.966667,0,0,9.55952,0,0,0
0.0333333,0.98,0,0,9.6929,0,0,0
0.0466667,0.02,0,0,0.310114,0,0,0
0.0466667,0.0333333,0,0,0.443581,0,0,0
0.0466667,0.0466667,0,0,0.576961,0,0,0
0.0466667,0.06,0,0,0.710245,0,0,0
0.0466667,0.0733333,0,0,0.843425,0,0,0
0.0466667,0.0866667,0,0,0.976492,0,0,0
0.0466667,0.1,0,0,1.10944,0,0,0
0.0466667,0.113333,0,0,1.24225,0,0,0
0.0466667,0.126667,0,0,1.37491,0,0,0
0.0466667,0.14,0,0,1.50743,0,0,0
0.0466667,0.153333,0,0,1.63977,0,0,0
0.0466667,0.166667,0,0,1.77194,0,0,0
0.0466667,0.18,0,0,1.90393,0,0,0
0.0466667,0.193333,0,0,2.03571,0,0,0
