X,Y,U,V,Stream,Density,Cp,Solid
0.02,0.02,11.7726,1.7156,0.167046,1.225,-0.415365,0
0.02,0.0333333,10.7548,1.19304,0.313935,1.225,-0.170892,0
0.02,0.0466667,10.3877,0.856593,0.453841,1.225,-0.0863722,0
0.02,0.06,10.2333,0.630542,0.590939,1.225,-0.0511868,0
0.02,0.0733333,10.1584,0.469298,0.72673,1.225,-0.0341283,0
0.02,0.0866667,10.1172,0.347541,0.861829,1.225,-0.0247786,0
0.02,0.1,10.0921,0.251117,0.996521,1.225,-0.0191382,0
0.02,0.113333,10.0756,0.171845,1.13095,1.225,-0.015471,0
0.02,0.126667,10.0639,0.104801,1.2652,1.225,-0.0129387,0
0.02,0.14,10.0552,0.0469104,1.39932,1.225,-0.011099,0
0.02,0.153333,10.0484,-0.00380568,1.53334,1.225,-0.00970029,0
0.02,0.166667,10.0427,-0.0486502,1.66728,1.225,-0.00859024,0
0.02,0.18,10.0379,-0.0884925,1.80115,1.225,-0.0076718,0
0.02,0.193333,10.0336,-0.123914,1.93496,1.225,-0.0068802,0
0.02,0.206667,10.0296,-0.155301,2.06871,1.225,-0.00617062,0
0.02,0.22,10.0258,-0.182901,2.20241,1.225,-0.0055111,0
0.02,0.233333,10.0222,-0.206868,2.33607,1.225,-0.00487838,0
0.02,0.246667,10.0187,-0.227285,2.46967,1.225,-0.00425541,0
0.02,0.26,10.0152,-0.244191,2.60323,1.225,-0.00362982,0
0.02,0.273333,10.0116,-0.257593,2.73674,1.225,-0.00299302,0
0.02,0.286667,10.0081,-0.26748,2.87021,1.225,-0.00233956,0
0.02,0.3,10.0046,-0.273837,3.00363,1.225,-0.00166686,0
0.02,0.313333,10.001,-0.276651,3.137,1.225,-0.000974911,0
0.02,0.326667,9.99752,-0.27592,3.27032,1.225,-0.000266187,0
0.02,0.34,9.99404,-0.271664,3.4036,1.225,0.000454551,0
0.02,0.353333,9.99061,-0.263927,3.53683,1.225,0.0011804,0
0.02,0.366667,9.98728,-0.252787,3.67002,1.225,0.00190254,0
0.02,0.38,9.98409,-0.238359,3.80316,1.225,0.00261049,0
0.02,0.393333,9.98108,-0.220797,3.93626,1.225,0.00329247,0
0.02,0.406667,9.97829,-0.200302,4.06932,1.225,0.00393583,0
0.02,0.42,9.97576,-0.177116,4.20235,1.225,0.00452753,0
