X,Y,U,V,Stream,Density,Cp,Solid
0,0,0,0,-0.527748,0,0,0
0,0,0,0,-0.315608,0,0,0
0,0,0,0,-0.206617,0,0,0
0,0,0,0,-0.137629,0,0,0
0,0,0,0,-0.0856896,0,0,0
0,0,0,0,-0.0413242,0,0,0
0,0,0,0,-2.04087e-06,0,0,0
0,0,0,0,0.0413201,0,0,0
0,0,0,0,0.085686,0,0,0
0,0,0,0,0.137626,0,0,0
0,0,0,0,0.206615,0,0,0
0,0,0,0,0.315606,0,0,0
0,0,0,0,0.527747,0,0,0
0,0,0,0,-0.71888,0,0,0
0,0,0,0,-0.49426,0,0,0
0,0,0,0,-0.342484,0,0,0
0,0,0,0,-0.232456,0,0,0
0,0,0,0,-0.145135,0,0,0
0,0,0,0,-0.0697815,0,0,0
0,0,0,0,-4.2204e-06,0,0,0
0,0,0,0,0.0697736,0,0,0
0,0,0,0,0.145127,0,0,0
0,0,0,0,0.23245,0,0,0
0,0,0,0,0.342478,0,0,0
0,0,0,0,0.494257,0,0,0
0,0,0,0,0.718878,0,0,0
0,0,0,0,-0.80615,0,0,0
0,0,0,0,-0.599989,0,0,0
0,0,0,0,-0.436557,0,0,0
0,0,0,0,-0.304705,0,0,0
0,0,0,0,-0.193027,0,0,0
0,0,0,0,-0.0931482,0,0,0
0,0,0,0,-6.05449e-06,0,0,0
0,0,0,0,0.093136,0,0,0
0,0,0,0,0.193016,0,0,0
0,0,0,0,0.304695,0,0,0
0,0,0,0,0.436549,0,0,0
0,0,0,0,0.599984,0,0,0
0,0,0,0,0.806147,0,0,0
0,0,0,0,-0.851784,0,0,0
0,0,0,0,-0.662808,0,0,0
0,0,0,0,-0.498807,0,0,0
0,0,0,0,-0.356728,0,0,0
0,0,0,0,-0.22994,0,0,0
0,0,0,0,-0.111361,0,0,0
0,0,0,0,-8.31096e-06,0,0,0
0,0,0,0,0.111345,0,0,0
0,0,0,0,0.229925,0,0,0
0,0,0,0,0.356715,0,0,0
0,0,0,0,0.498797,0,0,0
0,0,0,0,0.662801,0,0,0
0,0,0,0,0.85178,0,0,0
0,0,0,0,-0.877732,0,0,0
0,0,0,0,-0.700384,0,0,0
0,0,0,0,-0.538497,0,0,0
0,0,0,0,-0.392434,0,0,0
0,0,0,0,-0.259283,0,0,0
0,0,0,0,-0.128682,0,0,0
0,0,0,0,-9.92356e-06,0,0,0
0,0,0,0,0.128662,0,0,0
0,0,0,0,0.259266,0,0,0
0,0,0,0,0.392418,0,0,0
0,0,0,0,0.538485,0,0,0
0,0,0,0,0.700375,0,0,0
0,0,0,0,0.877728,0,0,0
0,0,0,0,-0.892717,0,0,0
0,0,0,0,-0.722352,0,0,0
0,0,0,0,-0.561602,0,0,0
0,0,0,0,-0.412021,0,0,0
0,0,0,0,-0.278386,0,0,0
0,0,0,0,-0.169071,0,0,0
0,0,0,0,-1.23641e-05,0,0,0
0,0,0,0,0.169049,0,0,0
0,0,0,0,0.278364,0,0,0
0,0,0,0,0.412004,0,0,0
0,0,0,0,0.561588,0,0,0
0,0,0,0,0.722342,0,0,0
0,0,0,0,0.892712,0,0,0
0,0,0,0,-0.900946,0,0,0
0,0,0,0,-0.735026,0,0,0
0,0,0,0,-0.574104,0,0,0
0,0,0,0,-0.415362,0,0,0
0,0,0,0,-0.248165,0,0,0
0,0,0,0,-0.0692062,0,0,0
0,0,0,0,2.2518e+14,0,0,0
0,0,0,0,0.0691797,0,0,0
0,0,0,0,0.248142,0,0,0
0,0,0,0,0.415341,0,0,0
0,0,0,0,0.574088,0,0,0
0,0,0,0,0.735014,0,0,0
0,0,0,0,0.90094,0,0,0
0,0,0,0,-0.904869,0,0,0
0,0,0,0,-0.743341,0,0,0
0,0,0,0,-0.586386,0,0,0
0,0,0,0,-0.435489,0,0,0
0,0,0,0,-0.296375,0,0,0
0,0,0,0,-0.178765,0,0,0
0,0,0,0,-1.45202e-05,0,0,0
0,0,0,0,0.178737,0,0,0
