X,Y,U,V,Stream,Density,Cp,Solid
0.18,0.18,0,0,1.83788,0,0,0
0.18,0.3,0,0,3.03771,0,0,0
0.18,0.42,0,0,4.23713,0,0,0
0.18,0.54,0,0,5.43604,0,0,0
0.18,0.66,0,0,6.63431,0,0,0
0.18,0.78,0,0,7.83185,0,0,0
0.18,0.9,0,0,9.02854,0,0,0
0.18,1.02,0,0,10.2243,0,0,0
0.18,1.14,0,0,11.4192,0,0,0
0.18,1.26,0,0,12.6133,0,0,0
0.18,1.38,0,0,13.8068,0,0,0
0.18,1.5,0,0,15,0,0,0
0.18,1.62,0,0,16.1932,0,0,0
0.18,1.74,0,0,17.3867,0,0,0
0.18,1.86,0,0,18.5808,0,0,0
0.18,1.98,0,0,19.7757,0,0,0
0.18,2.1,0,0,20.9715,0,0,0
0.18,2.22,0,0,22.1682,0,0,0
0.18,2.34,0,0,23.3657,0,0,0
0.18,2.46,0,0,24.564,0,0,0
0.18,2.58,0,0,25.7629,0,0,0
0.18,2.7,0,0,26.9623,0,0,0
0.18,2.82,0,0,28.1621,0,0,0
0.3,0.18,0,0,1.84148,0,0,0
0.3,0.3,0,0,3.04167,0,0,0
0.3,0.42,0,0,4.24144,0,0,0
0.3,0.54,0,0,5.44065,0,0,0
0.3,0.66,0,0,6.63915,0,0,0
0.3,0.78,0,0,7.83676,0,0,0
0.3,0.9,0,0,9.03333,0,0,0
0.3,1.02,0,0,10.2287,0,0,0
0.3,1.14,0,0,11.4229,0,0,0
0.3,1.26,0,0,12.616,0,0,0
0.3,1.38,0,0,13.8083,0,0,0
0.3,1.5,0,0,15,0,0,0
0.3,1.62,0,0,16.1917,0,0,0
0.3,1.74,0,0,17.384,0,0,0
0.3,1.86,0,0,18.5771,0,0,0
0.3,1.98,0,0,19.7713,0,0,0
0.3,2.1,0,0,20.9667,0,0,0
0.3,2.22,0,0,22.1632,0,0,0
0.3,2.34,0,0,23.3609,0,0,0
0.3,2.46,0,0,24.5593,0,0,0
0.3,2.58,0,0,25.7586,0,0,0
0.3,2.7,0,0,26.9583,0,0,0
0.3,2.82,0,0,28.1585,0,0,0
0.42,0.18,0,0,1.84538,0,0,0
0.42,0.3,0,0,3.04604,0,0,0
0.42,0.42,0,0,4.2463,0,0,0
0.42,0.54,0,0,5.44598,0,0,0
