X,Y,U,V,Stream,Density,Cp,Solid
0.09,0.09,11.7544,1.73381,0.750618,1.225,-0.411722,0
0.09,0.15,10.7367,1.22941,1.41053,1.225,-0.167889,0
0.09,0.21,10.3697,0.911002,2.03903,1.225,-0.0836113,0
0.09,0.27,10.2156,0.70283,2.6549,1.225,-0.0485227,0
0.09,0.33,10.1409,0.559244,3.2649,1.225,-0.0315023,0
0.09,0.39,10.1,0.454871,3.8718,1.225,-0.0221641,0
0.09,0.45,10.0753,0.375503,4.47689,1.225,-0.0165226,0
0.09,0.51,10.0592,0.312901,5.08084,1.225,-0.0128486,0
0.09,0.57,10.048,0.262085,5.68399,1.225,-0.0103085,0
0.09,0.63,10.0398,0.219923,6.28659,1.225,-0.00846377,0
0.09,0.69,10.0336,0.18437,6.88877,1.225,-0.00706657,0
0.09,0.75,10.0286,0.154053,7.49062,1.225,-0.0059688,0
0.09,0.81,10.0245,0.128022,8.09221,1.225,-0.00507814,0
0.09,0.87,10.0211,0.105602,8.69357,1.225,-0.00433533,0
0.09,0.93,10.0181,0.0862967,9.29474,1.225,-0.00370189,0
0.09,0.99,10.0155,0.0697259,9.89574,1.225,-0.00315296,0
0.09,1.05,10.0132,0.0555809,10.4966,1.225,-0.00267309,0
0.09,1.11,10.0112,0.0435925,11.0973,1.225,-0.00225347,0
0.09,1.17,10.0094,0.0335083,11.6979,1.225,-0.00189004,0
0.09,1.23,10.0079,0.0250757,12.2985,1.225,-0.00158204,0
0.09,1.29,10.0066,0.0180312,12.8989,1.225,-0.00133085,0
0.09,1.35,10.0057,0.0120942,13.4993,1.225,-0.00113897,0
0.09,1.41,10.005,0.00696531,14.0996,1.225,-0.00100913,0
0.09,1.47,10.0047,0.00232886,14.6999,1.225,-0.000943586,0
0.09,1.53,10.0047,-0.00214225,15.3001,1.225,-0.000943608,0
0.09,1.59,10.005,-0.00677899,15.9004,1.225,-0.00100919,0
0.09,1.65,10.0057,-0.0119084,16.5007,1.225,-0.00113908,0
0.09,1.71,10.0066,-0.0178464,17.1011,1.225,-0.00133102,0
0.09,1.77,10.0079,-0.0248923,17.7015,1.225,-0.00158227,0
0.09,1.83,10.0094,-0.0333267,18.302,1.225,-0.00189035,0
0.09,1.89,10.0112,-0.0434133,18.9027,1.225,-0.00225386,0
0.09,1.95,10.0132,-0.0554046,19.5034,1.225,-0.00267358,0
0.09,2.01,10.0155,-0.0695534,20.1042,1.225,-0.00315355,0
0.09,2.07,10.0181,-0.0861287,20.7053,1.225,-0.00370259,0
0.09,2.13,10.0211,-0.105439,21.3064,1.225,-0.00433616,0
0.09,2.19,10.0245,-0.127866,21.9078,1.225,-0.00507909,0
0.09,2.25,10.0286,-0.153904,22.5094,1.225,-0.00596988,0
0.09,2.31,10.0336,-0.184229,23.1112,1.225,-0.00706778,0
0.09,2.37,10.0398,-0.219791,23.7134,1.225,-0.00846512,0
0.09,2.43,10.048,-0.261963,24.316,1.225,-0.01031,0
0.09,2.49,10.0592,-0.31279,24.9192,1.225,-0.0128502,0
0.09,2.55,10.0753,-0.375403,25.5231,1.225,-0.0165243,0
0.09,2.61,10.1,-0.454784,26.1282,1.225,-0.022166,0
0.09,2.67,10.1409,-0.559171,26.7351,1.225,-0.0315042,0
0.09,2.73,10.2156,-0.702771,27.3451,1.225,-0.0485248,0
0.09,2.79,10.3697,-0.910957,27.961,1.225,-0.0836135,0
0.09,2.85,10.7368,-1.22937,28.5895,1.225,-0.167892,0
0.09,2.91,11.7544,-1.7338,29.2494,1.225,-0.411725,0
0.15,0.09,11.2706,0.716143,0.691942,1.225,-0.275392,0
0.15,0.15,10.8228,0.781619,1.35247,1.225,-0.177442,0
0.15,0.21,10.5266,0.695541,1.99068,1.225,-0.112926,0
0.15,0.27,10.3518,0.589339,2.61566,1.225,-0.0750621,0
0.15,0.33,10.248,0.494226,3.23289,1.225,-0.0526493,0
0.15,0.39,10.1837,0.414765,3.84542,1.225,-0.0388062,0
0.15,0.45,10.142,0.349141,4.45494,1.225,-0.0298146,0
0.15,0.51,10.1134,0.294602,5.06245,1.225,-0.02368,0
0.15,0.57,10.093,0.248765,5.66855,1.225,-0.0193009,0
0.15,0.63,10.0777,0.209808,6.27361,1.225,-0.0160437,0
