X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.05,0.05,1.17294,0.175888,0.0416175,1.225,-0.406717,0,99999.8,298
0.05,0.0833333,1.07117,0.127952,0.0781958,1.225,-0.163787,0,99999.9,298
0.05,0.116667,1.03448,0.0986089,0.113029,1.225,-0.0798768,0,100000,298
0.05,0.15,1.01908,0.0802791,0.147161,1.225,-0.0449706,0,100000,298
0.05,0.183333,1.01163,0.0683938,0.180968,1.225,-0.0280656,0,100000,298
0.05,0.216667,1.00756,0.0604114,0.214603,1.225,-0.0188203,0,100000,298
0.05,0.25,1.00511,0.0549062,0.248138,1.225,-0.0132677,0,100000,298
0.05,0.283333,1.00353,0.051049,0.281611,1.225,-0.00968754,0,100000,298
0.05,0.316667,1.00245,0.0483359,0.315041,1.225,-0.00725113,0,100000,298
0.05,0.35,1.00168,0.0464473,0.348441,1.225,-0.00552278,0,100000,298
0.05,0.383333,1.00111,0.0451724,0.381819,1.225,-0.00425643,0,100000,298
0.05,0.416667,1.00067,0.0443672,0.415181,1.225,-0.00330477,0,100000,298
0.05,0.45,1.00032,0.0439306,0.448531,1.225,-0.00257531,0,100000,298
0.05,0.483333,1.00005,0.0437896,0.48187,1.225,-0.00200764,0,100000,298
0.05,0.516667,0.999817,0.0438903,0.5152,1.225,-0.00156097,0,100000,298
0.05,0.55,0.999627,0.0441924,0.548524,1.225,-0.00120699,0,100000,298
0.05,0.583333,0.999465,0.044665,0.581842,1.225,-0.000925593,0,100000,298
0.05,0.616667,0.999326,0.0452842,0.615155,1.225,-0.000702198,0,100000,298
0.05,0.65,0.999203,0.0460313,0.648464,1.225,-0.000526058,0,100000,298
0.05,0.683333,0.999095,0.0468915,0.681769,1.225,-0.000389143,0,100000,298
0.05,0.716667,0.998997,0.0478528,0.71507,1.225,-0.000285386,0,100000,298
0.05,0.75,0.998909,0.0489058,0.748368,1.225,-0.000210168,0,100000,298
0.05,0.783333,0.998827,0.0500428,0.781664,1.225,-0.000159947,0,100000,298
0.05,0.816667,0.998752,0.0512574,0.814957,1.225,-0.000132009,0,100000,298
0.05,0.85,0.998681,0.0525445,0.848247,1.225,-0.000124272,0,100000,298
0.05,0.883333,0.998614,0.0538998,0.881536,1.225,-0.000135155,0,100000,298
0.05,0.916667,0.998551,0.0553198,0.914822,1.225,-0.000163468,0,100000,298
0.05,0.95,0.99849,0.0568015,0.948106,1.225,-0.000208341,0,100000,298
0.05,0.983333,0.998431,0.0583424,0.981388,1.225,-0.000269161,0,100000,298
0.05,1.01667,0.998375,0.0599406,1.01467,1.225,-0.000345526,0,100000,298
0.05,1.05,0.99832,0.0615941,1.04795,1.225,-0.000437211,0,100000,298
0.05,1.08333,0.998267,0.0633015,1.08122,1.225,-0.000544138,0,100000,298
0.05,1.11667,0.998215,0.0650614,1.1145,1.225,-0.000666354,0,100000,298
0.05,1.15,0.998164,0.0668725,1.14777,1.225,-0.000804008,0,100000,298
0.05,1.18333,0.998115,0.0687338,1.18104,1.225,-0.000957343,0,100000,298
0.05,1.21667,0.998066,0.0706441,1.21431,1.225,-0.00112667,0,100000,298
0.05,1.25,0.998019,0.0726025,1.24758,1.225,-0.00131238,0,100000,298
0.05,1.28333,0.997972,0.0746078,1.28085,1.225,-0.0015149,0,100000,298
0.05,1.31667,0.997927,0.0766591,1.31411,1.225,-0.0017347,0,100000,298
0.05,1.35,0.997883,0.0787552,1.34737,1.225,-0.00197229,0,100000,298
0.05,1.38333,0.99784,0.0808949,1.38064,1.225,-0.00222821,0,100000,298
0.05,1.41667,0.997798,0.083077,1.4139,1.225,-0.00250301,0,100000,298
0.05,1.45,0.997758,0.0853,1.44716,1.225,-0.00279723,0,100000,298
0.05,1.48333,0.99772,0.0875625,1.48041,1.225,-0.00311142,0,100000,298
0.05,1.51667,0.997683,0.0898627,1.51367,1.225,-0.00344614,0,100000,298
0.05,1.55,0.997648,0.0921989,1.54693,1.225,-0.00380188,0,100000,298
0.05,1.58333,0.997615,0.0945691,1.58018,1.225,-0.00417913,0,100000,298
0.05,1.61667,0.997585,0.0969711,1.61343,1.225,-0.00457832,0,100000,298
0.05,1.65,0.997557,0.0994025,1.64669,1.225,-0.00499985,0,100000,298
0.05,1.68333,0.997531,0.101861,1.67994,1.225,-0.00544403,0,100000,298
0.05,1.71667,0.997509,0.104343,1.71319,1.225,-0.0059111,0,100000,298
0.05,1.75,0.997489,0.106846,1.74644,1.225,-0.00640123,0,100000,298
0.05,1.78333,0.997473,0.109368,1.77969,1.225,-0.00691445,0,100000,298
0.05,1.81667,0.997461,0.111903,1.81294,1.225,-0.00745073,0,100000,298
0.05,1.85,0.997452,0.11445,1.84618,1.225,-0.00800989,0,100000,298
0.05,1.88333,0.997448,0.117003,1.87943,1.225,-0.00859163,0,100000,298
0.05,1.91667,0.997447,0.119558,1.91268,1.225,-0.0091955,0,100000,298
0.05,1.95,0.997452,0.122112,1.94593,1.225,-0.0098209,0,100000,298
0.05,1.98333,0.99746,0.12466,1.97918,1.225,-0.0104671,0,100000,298
0.05,2.01667,0.997474,0.127197,2.01243,1.225,-0.0111331,0,100000,298
0.05,2.05,0.997493,0.129717,2.04568,1.225,-0.011818,0,100000,298
0.05,2.08333,0.997516,0.132217,2.07893,1.225,-0.0125203,0,100000,298
0.05,2.11667,0.997546,0.13469,2.11218,1.225,-0.0132387,0,100000,298
0.05,2.15,0.99758,0.137131,2.14543,1.225,-0.0139716,0,100000,298
0.05,2.18333,0.997621,0.139534,2.17868,1.225,-0.0147172,0,100000,298
0.05,2.21667,0.997667,0.141895,2.21194,1.225,-0.0154734,0,100000,298
0.05,2.25,0.997719,0.144206,2.24519,1.225,-0.0162383,0,100000,298
0.05,2.28333,0.997777,0.146463,2.27845,1.225,-0.0170093,0,100000,298
0.05,2.31667,0.99784,0.148659,2.31171,1.225,-0.0177843,0,100000,298
0.05,2.35,0.997909,0.150789,2.34497,1.225,-0.0185604,0,100000,298
0.05,2.38333,0.997985,0.152846,2.37824,1.225,-0.0193351,0,100000,298
0.05,2.41667,0.998066,0.154825,2.41151,1.225,-0.0201055,0,100000,298
0.05,2.45,0.998152,0.15672,2.44478,1.225,-0.0208688,0,100000,298
0.05,2.48333,0.998244,0.158526,2.47805,1.225,-0.0216219,0,100000,298
0.05,2.51667,0.998342,0.160238,2.51133,1.225,-0.0223619,0,100000,298
0.05,2.55,0.998444,0.161849,2.54461,1.225,-0.0230856,0,100000,298
0.05,2.58333,0.998552,0.163354,2.57789,1.225,-0.0237901,0,100000,298
0.05,2.61667,0.998664,0.16475,2.61118,1.225,-0.0244724,0,100000,298
0.05,2.65,0.998781,0.166031,2.64447,1.225,-0.0251295,0,100000,298
0.05,2.68333,0.998902,0.167192,2.67776,1.225,-0.0257585,0,100000,298
0.05,2.71667,0.999027,0.168231,2.71106,1.225,-0.0263565,0,100000,298
0.05,2.75,0.999156,0.169142,2.74436,1.225,-0.026921,0,100000,298
0.05,2.78333,0.999288,0.169923,2.77767,1.225,-0.0274494,0,100000,298
0.05,2.81667,0.999422,0.17057,2.81098,1.225,-0.0279394,0,100000,298
0.05,2.85,0.99956,0.17108,2.8443,1.225,-0.0283887,0,100000,298
0.05,2.88333,0.9997,0.171452,2.87762,1.225,-0.0287955,0,100000,298
0.05,2.91667,0.999841,0.171683,2.91095,1.225,-0.029158,0,100000,298
0.05,2.95,0.999985,0.171771,2.94428,1.225,-0.0294746,0,100000,298
0.05,2.98333,1.00013,0.171714,2.97761,1.225,-0.0297441,0,100000,298
0.05,3.01667,1.00027,0.171513,3.01095,1.225,-0.0299655,0,100000,298
0.05,3.05,1.00042,0.171166,3.0443,1.225,-0.030138,0,100000,298
0.05,3.08333,1.00057,0.170673,3.07765,1.225,-0.0302613,0,100000,298
0.05,3.11667,1.00071,0.170034,3.111,1.225,-0.0303349,0,100000,298
0.05,3.15,1.00086,0.16925,3.14436,1.225,-0.0303591,0,100000,298
0.05,3.18333,1.001,0.168321,3.17773,1.225,-0.030334,0,100000,298
0.05,3.21667,1.00114,0.167248,3.21109,1.225,-0.0302603,0,100000,298
0.05,3.25,1.00129,0.166032,3.24447,1.225,-0.0301387,0,100000,298
0.05,3.28333,1.00143,0.164676,3.27785,1.225,-0.0299703,0,100000,298
0.05,3.31667,1.00156,0.16318,3.31123,1.225,-0.0297564,0,100000,298
0.05,3.35,1.0017,0.161548,3.34462,1.225,-0.0294985,0,100000,298
0.05,3.38333,1.00183,0.15978,3.37801,1.225,-0.0291981,0,100000,298
0.05,3.41667,1.00196,0.15788,3.41141,1.225,-0.0288572,0,100000,298
0.05,3.45,1.00209,0.15585,3.44481,1.225,-0.0284778,0,100000,298
0.05,3.48333,1.00222,0.153693,3.47821,1.225,-0.028062,0,100000,298
0.05,3.51667,1.00234,0.151412,3.51162,1.225,-0.0276122,0,100000,298
0.05,3.55,1.00246,0.149009,3.54504,1.225,-0.0271307,0,100000,298
0.05,3.58333,1.00258,0.146488,3.57845,1.225,-0.0266202,0,100000,298
0.05,3.61667,1.00269,0.143851,3.61187,1.225,-0.0260831,0,100000,298
0.05,3.65,1.0028,0.141102,3.6453,1.225,-0.0255223,0,100000,298
0.05,3.68333,1.00291,0.138244,3.67873,1.225,-0.0249403,0,100000,298
0.05,3.71667,1.00302,0.135279,3.71216,1.225,-0.0243401,0,100000,298
0.05,3.75,1.00312,0.13221,3.74559,1.225,-0.0237244,0,100000,298
0.05,3.78333,1.00322,0.129041,3.77903,1.225,-0.023096,0,100000,298
0.05,3.81667,1.00331,0.125773,3.81248,1.225,-0.0224579,0,100000,298
0.05,3.85,1.00341,0.12241,3.84592,1.225,-0.0218129,0,100000,298
0.05,3.88333,1.0035,0.118954,3.87937,1.225,-0.0211639,0,100000,298
0.05,3.91667,1.00359,0.115407,3.91282,1.225,-0.0205138,0,100000,298
0.05,3.95,1.00368,0.11177,3.94628,1.225,-0.0198655,0,100000,298
0.05,3.98333,1.00377,0.108046,3.97973,1.225,-0.0192219,0,100000,298
0.05,4.01667,1.00385,0.104236,4.01319,1.225,-0.018586,0,100000,298
0.05,4.05,1.00394,0.10034,4.04666,1.225,-0.0179608,0,100000,298
0.05,4.08333,1.00402,0.0963583,4.08012,1.225,-0.0173493,0,100000,298
0.05,4.11667,1.00411,0.0922918,4.11359,1.225,-0.0167549,0,100000,298
